Ecorr_400,i_400,Ecorr_493,i_493,Ecorr_625,i_625,Ecorr_816,i_816,Ecorr_1111,i_1111,Ecorr_1600,i_1600,Ecorr_2500,i_2500,Ecorr_3600,i_3600
0.213484666,0.1488249,0.213491214,0.05869759,0.213510512,0.1132759,0.213502771,0.1062138,0.213721846,0.1594713,0.213719564,0.1558531,0.213729127,0.1757865,0.213711692,0.2272303
0.21447276,0.1489353,0.214475578,0.05737875,0.214519377,0.109402,0.21449233,0.1090664,0.214693063,0.1553864,0.214690659,0.152158,0.214678569,0.172259,0.214702542,0.224623
0.215472769,0.150567,0.215498632,0.05746511,0.215497161,0.1115324,0.215479376,0.1083331,0.215722204,0.1566599,0.215706667,0.1508392,0.215716065,0.1742194,0.215735767,0.2232394
0.216494869,0.1465979,0.21649635,0.05813664,0.216517154,0.1102153,0.216509464,0.105529,0.216726319,0.1528102,0.216727836,0.1495391,0.216718172,0.1731866,0.216687489,0.2249196
0.217484016,0.1483047,0.21749423,0.05793716,0.217513511,0.1118484,0.217500046,0.1071966,0.217694502,0.1530593,0.21770843,0.1490982,0.217677529,0.1729876,0.217713527,0.2218928
0.218485258,0.1498449,0.218482236,0.05846989,0.21850081,0.1111144,0.218490185,0.1072479,0.218718068,0.1533684,0.218701651,0.1507777,0.21869687,0.1754784,0.218743877,0.222231
0.2195001,0.1496493,0.219505783,0.05805835,0.219527131,0.1095911,0.219496427,0.1060033,0.219709535,0.1543999,0.219726564,0.1497026,0.219706957,0.1716694,0.219683415,0.2220062
0.220475604,0.1498886,0.2204823,0.05734693,0.220523806,0.1109403,0.220508181,0.1053848,0.220700929,0.1517651,0.220704404,0.1490606,0.220688835,0.1709946,0.220716975,0.221932
0.221469934,0.1508205,0.221482138,0.05793975,0.221503792,0.1115136,0.221494324,0.1056529,0.221725373,0.1528852,0.221703813,0.1510391,0.221716173,0.1739861,0.221735264,0.2222244
0.22249981,0.1510389,0.22248523,0.05929229,0.222483175,0.1163326,0.222484139,0.1082588,0.222725882,0.1513454,0.22270227,0.151056,0.222693457,0.1741088,0.222719595,0.217566
0.223492708,0.1488394,0.223484156,0.05860702,0.223509181,0.1130534,0.223510639,0.1060965,0.223689744,0.1544889,0.223696882,0.149849,0.223693826,0.1711464,0.223729547,0.2198758
0.224481859,0.1497073,0.224467635,0.0589491,0.224497276,0.1110804,0.224490348,0.1048693,0.224739505,0.1518173,0.224698066,0.1493679,0.224708562,0.1722202,0.224735389,0.220881
0.225581607,0.16396,0.22549734,0.05822173,0.225512522,0.1094241,0.2254724,0.1071439,0.225724441,0.1512931,0.225719269,0.1487549,0.225698743,0.1725553,0.225730562,0.2165135
0.226538193,0.1202198,0.226479113,0.05794447,0.226507273,0.1107584,0.2264913,0.1071554,0.226703178,0.1506361,0.22668549,0.1487303,0.22670076,0.1697842,0.2267475,0.2167185
0.227514519,0.114815,0.227474213,0.05736344,0.227506352,0.111376,0.227476104,0.105734,0.22772616,0.1496888,0.227709419,0.1487611,0.227706515,0.1739612,0.227744951,0.2169997
0.228501074,0.1136924,0.228487487,0.05779846,0.228491348,0.1149595,0.22847477,0.1046645,0.228716624,0.1500757,0.228717693,0.1479564,0.228710943,0.1691781,0.228722922,0.2148551
0.229515531,0.1136164,0.229485043,0.05804013,0.229520413,0.1126087,0.229478586,0.1078409,0.229718989,0.1500003,0.229697149,0.1459706,0.229702397,0.167846,0.229746544,0.2161355
0.230465505,0.1144879,0.23046489,0.05822771,0.23048983,0.1123952,0.230463124,0.1066862,0.230734423,0.1485069,0.230710096,0.1462117,0.230712061,0.1681673,0.230741695,0.2152064
0.231495365,0.1137275,0.231481831,0.05819075,0.23149429,0.1128321,0.231471901,0.1053406,0.231711904,0.1505487,0.23170708,0.1470598,0.231692896,0.1660681,0.231685127,0.2174688
0.232488632,0.1158194,0.232485546,0.05854133,0.232513995,0.1139133,0.232471717,0.1062472,0.232684617,0.1486305,0.232684081,0.1465321,0.23271273,0.1633173,0.23272606,0.2173894
0.233475937,0.1140195,0.23346647,0.05798789,0.233507114,0.1125604,0.233479935,0.1066257,0.2337012,0.1504012,0.233690848,0.1471688,0.233710948,0.1672647,0.233757551,0.216185
0.234497945,0.115452,0.234495084,0.05799781,0.234498312,0.1122681,0.234459423,0.1066331,0.234689981,0.149676,0.234701147,0.1473852,0.234662163,0.1686151,0.234687111,0.2164722
0.235492792,0.114538,0.235486413,0.05904618,0.235514814,0.112686,0.235485697,0.1060556,0.235707196,0.1497331,0.235677871,0.1464128,0.235681918,0.1684505,0.235720327,0.2144686
0.236468494,0.115758,0.236479262,0.05868749,0.236514328,0.1119233,0.236476606,0.1065773,0.236714265,0.1490691,0.236674807,0.1479836,0.236689025,0.1681948,0.236719274,0.2181712
0.237505173,0.116657,0.237485135,0.05827815,0.237506553,0.1125191,0.237458884,0.1071291,0.237695203,0.149717,0.237680009,0.1494436,0.237669701,0.1677539,0.23770988,0.2131315
0.238500684,0.1171351,0.238516331,0.05804746,0.238525032,0.1135616,0.238492782,0.1055256,0.238690794,0.1506505,0.23868788,0.1457184,0.238684792,0.166298,0.238732329,0.2141386
0.239490701,0.1163167,0.23946772,0.05743722,0.239518664,0.1109197,0.239495794,0.1036024,0.239726798,0.1487255,0.239703533,0.1464833,0.239716242,0.1661963,0.239714961,0.2163348
0.240474572,0.1171068,0.240481022,0.05803491,0.240498104,0.1120154,0.240460308,0.1051209,0.24071237,0.1491797,0.240708077,0.1464032,0.240681985,0.1657393,0.240723053,0.2107405
0.241477016,0.1190262,0.241477863,0.05842362,0.241509397,0.1124212,0.241479385,0.1050151,0.241719741,0.1471489,0.241680734,0.1459135,0.241693597,0.1668698,0.241748147,0.2115529
0.242482532,0.1197476,0.242476993,0.05771055,0.242515699,0.1109227,0.242490519,0.1017609,0.242731137,0.1472655,0.242714332,0.1432263,0.242720733,0.1688004,0.24273361,0.212539
0.243465436,0.1233375,0.243474771,0.05826316,0.243497305,0.1108171,0.243474099,0.1022943,0.243717477,0.1470078,0.243722128,0.1435578,0.243698544,0.1652073,0.243713421,0.2108854
0.244478474,0.1261955,0.24450219,0.05764675,0.244507781,0.1111609,0.244474942,0.1037655,0.244706337,0.14778,0.244684436,0.1438528,0.244711195,0.1658775,0.244750095,0.2105122
0.245466138,0.1229711,0.245467034,0.05705739,0.245504911,0.1106043,0.245499454,0.1011955,0.245724876,0.1469782,0.245713774,0.1440096,0.245721697,0.168529,0.245761272,0.2093582
0.246465824,0.1222492,0.246481352,0.05704053,0.2464859,0.110443,0.24646247,0.1001976,0.246680041,0.1467779,0.246683196,0.1435952,0.24664186,0.1683411,0.246678317,0.2114626
0.247457104,0.1260692,0.247465641,0.05817333,0.247482857,0.111367,0.247452207,0.1027082,0.247702509,0.1462459,0.247661592,0.1433582,0.247669316,0.1644333,0.247713268,0.2106
0.248451268,0.1301267,0.248478922,0.05780127,0.248495029,0.1100783,0.248476122,0.1010285,0.248702158,0.1472706,0.248676215,0.1443381,0.248670694,0.1662193,0.24872822,0.2102694
0.249463642,0.1258791,0.249453719,0.05945574,0.249482335,0.1108771,0.249453316,0.1005535,0.249672842,0.1464298,0.249678185,0.1442244,0.249634524,0.1666205,0.249679443,0.210711
0.250457529,0.1287551,0.250497194,0.05791992,0.250487098,0.1112647,0.250466981,0.1006701,0.250687543,0.1482556,0.250646417,0.1421692,0.250672559,0.1654438,0.250718559,0.2113
0.251460277,0.1289478,0.25146416,0.05795186,0.251499124,0.1120573,0.251476331,0.1017778,0.251690605,0.1485481,0.251675098,0.144223,0.251686454,0.1661356,0.251696247,0.2123432
0.252470413,0.1265254,0.252473401,0.05726915,0.252482068,0.1117916,0.252466447,0.1002354,0.252670686,0.1478526,0.2526666,0.1429399,0.252643165,0.163907,0.252687495,0.209039
0.253480296,0.1248824,0.253478881,0.05848419,0.253499715,0.1122365,0.253480037,0.09909139,0.253689135,0.1477517,0.253649705,0.1427694,0.253677548,0.1654801,0.253712247,0.2107801
0.254467077,0.1270738,0.254486894,0.05844692,0.254497513,0.1125313,0.254476495,0.1011108,0.254711181,0.1470891,0.254668725,0.1446437,0.2546903,0.1660838,0.254676394,0.2138539
0.25546532,0.1266405,0.255462276,0.05797247,0.25549262,0.1119878,0.255477833,0.1009084,0.255665095,0.1482307,0.255671,0.1445092,0.255651565,0.1657996,0.255679988,0.209594
0.256454037,0.1314267,0.256503278,0.05742041,0.256489093,0.1128483,0.256464744,0.1004825,0.256698563,0.1475074,0.256672403,0.144004,0.256695407,0.160786,0.256718358,0.2116899
0.257480508,0.1296481,0.257459091,0.05809528,0.257502319,0.1118568,0.257477474,0.1010637,0.257705011,0.1476939,0.257695389,0.1433001,0.257698454,0.1627703,0.257688787,0.2109717
0.258440372,0.1299452,0.2584515,0.05799995,0.258474346,0.1108166,0.258458377,0.1021458,0.258675916,0.1478648,0.258694402,0.143406,0.258662076,0.1657331,0.258675743,0.2101781
0.259479287,0.1291214,0.259465706,0.05795454,0.259478094,0.1116802,0.259446289,0.1012878,0.259708001,0.1481549,0.259667929,0.1437788,0.259693916,0.1650624,0.259720299,0.210438
0.260447572,0.1297173,0.260477751,0.0584544,0.260487488,0.1120668,0.260468557,0.1007323,0.260703473,0.1472799,0.260700661,0.1436164,0.260704569,0.1629226,0.260700877,0.2102471
0.261445907,0.1266124,0.261445945,0.05856572,0.261482081,0.1114064,0.261449148,0.1021567,0.261687992,0.1473279,0.26169713,0.143443,0.261655042,0.1632084,0.261673777,0.2117985
0.262458805,0.1287214,0.262482987,0.05848661,0.262482841,0.1109098,0.262439556,0.1026848,0.26270686,0.1473713,0.262673098,0.1429116,0.262690678,0.1623424,0.262699871,0.2106823
0.263450764,0.1311775,0.263474195,0.05811689,0.263492952,0.1112141,0.263464347,0.1019599,0.26369871,0.1462277,0.263677744,0.1423331,0.263674609,0.1628328,0.263675295,0.2114758
0.264437937,0.1325108,0.264447881,0.057107,0.264468293,0.1109502,0.264450598,0.1002944,0.264671944,0.1453509,0.26466647,0.1420362,0.264635294,0.1607464,0.264659748,0.2102347
0.265439963,0.1309445,0.265454766,0.05754723,0.265455701,0.1115386,0.265445734,0.1007462,0.26570393,0.1450838,0.265660603,0.1391661,0.265643801,0.1655446,0.265671264,0.2124949
0.26643946,0.1302813,0.266475315,0.05891903,0.266473912,0.1117113,0.266452282,0.1021368,0.266688313,0.1452378,0.266668481,0.141832,0.266669322,0.1630589,0.266656541,0.2109934
0.267449755,0.1301229,0.267455476,0.05718186,0.267469675,0.1102904,0.267463859,0.1008686,0.26766808,0.1463172,0.26766407,0.1413233,0.267645379,0.1604319,0.267671994,0.208387
0.268451807,0.1300854,0.268467586,0.05905022,0.268468941,0.1100176,0.268454372,0.09947799,0.268690251,0.1461134,0.268648917,0.1412055,0.268684259,0.16039,0.268704595,0.2094578
0.269461284,0.1294227,0.269465123,0.05761468,0.26948596,0.1115746,0.269454954,0.1010155,0.269687296,0.1465534,0.269666106,0.142116,0.269689532,0.1607593,0.269657495,0.2090028
0.270440515,0.1296914,0.270449838,0.05769592,0.270481912,0.1104062,0.270469746,0.1008229,0.270660116,0.144637,0.270663064,0.140153,0.270664828,0.1587859,0.27066654,0.2070721
0.271452447,0.1296068,0.271451558,0.05841416,0.271467281,0.1102029,0.271448984,0.09981172,0.271684961,0.1464547,0.271672944,0.1398839,0.271706557,0.1578402,0.271714498,0.2084681
0.27247372,0.1297068,0.272474112,0.05783729,0.272492624,0.1105726,0.272468601,0.09916707,0.272681373,0.146106,0.272690358,0.1406361,0.272681929,0.1587612,0.272668156,0.205739
0.273452719,0.1295156,0.273448275,0.05816496,0.273477149,0.1103599,0.273467652,0.09997461,0.273668338,0.1446778,0.273668731,0.1388079,0.273665863,0.1572737,0.273669376,0.207793
0.274452601,0.1316819,0.274456032,0.05870529,0.274455189,0.1104017,0.274440108,0.09939631,0.274695967,0.1450855,0.274662341,0.1404484,0.274677311,0.1585925,0.27470727,0.2073534
0.275457987,0.1294027,0.275445651,0.05796347,0.275450918,0.1119416,0.27546064,0.09836516,0.275697781,0.1458797,0.275696158,0.1400192,0.275668947,0.1590734,0.275695606,0.2048766
0.276434155,0.1285659,0.276438026,0.0577507,0.276468458,0.1110971,0.276454399,0.09878494,0.276670764,0.144243,0.276658258,0.1397017,0.276658592,0.1573221,0.276686292,0.2061544
0.277430643,0.1336569,0.27743909,0.05779053,0.277446844,0.111788,0.277443446,0.1002061,0.277672035,0.1466377,0.277662325,0.1399129,0.277673615,0.1610211,0.277702342,0.2064478
0.278458314,0.1286801,0.27846353,0.05854483,0.2784521,0.1123295,0.278453995,0.09947622,0.278669886,0.1467926,0.278657403,0.141022,0.278679163,0.1580761,0.278690347,0.2063612
0.279442171,0.1362568,0.27945121,0.05829343,0.279455578,0.1141569,0.279462453,0.1004415,0.279687472,0.1448673,0.279655429,0.1413661,0.279673952,0.1583761,0.279705861,0.2058735
0.28044717,0.1337486,0.280455863,0.05762702,0.280449321,0.112646,0.280455466,0.1012657,0.280739335,0.1447694,0.280691758,0.1401028,0.28074965,0.1558201,0.280766143,0.2072076
0.281498987,0.1298404,0.281505501,0.05848472,0.281495174,0.1133329,0.281492833,0.1013755,0.281750582,0.1441426,0.281731752,0.138999,0.281751966,0.1542001,0.281721906,0.2068709
0.282504186,0.1300685,0.282501155,0.05755413,0.282505665,0.1128411,0.282508504,0.1009136,0.282710242,0.1456637,0.282696125,0.1389072,0.282715171,0.1555624,0.282736209,0.2056415
0.283494729,0.1283597,0.283490725,0.05820035,0.283509679,0.1100662,0.283492628,0.101067,0.283742701,0.1452869,0.28371659,0.1383651,0.283745323,0.1566988,0.283766061,0.2064067
0.284500052,0.1295199,0.284510592,0.05883103,0.284513565,0.1110211,0.28448716,0.1015388,0.284727492,0.1454896,0.284724413,0.138735,0.284721081,0.1549458,0.284705943,0.2059383
0.28548664,0.1311677,0.285507347,0.05866643,0.285538067,0.1096665,0.285513156,0.1004875,0.285720602,0.1440405,0.285718038,0.1375762,0.285719611,0.1540114,0.28572852,0.2052512
0.286502752,0.1353281,0.286498304,0.05863238,0.286516937,0.1105884,0.286500492,0.1008374,0.286740793,0.1451781,0.286730052,0.1384117,0.286733928,0.1563005,0.286756442,0.2046396
0.2875349,0.1272154,0.287510093,0.05808794,0.28752477,0.110952,0.287506435,0.1011465,0.287741707,0.1448283,0.287749139,0.1378806,0.287704315,0.1583983,0.287729203,0.2038008
0.288503349,0.1307371,0.28850604,0.05756265,0.288536961,0.1111313,0.288519393,0.1014355,0.288728247,0.1438403,0.288731071,0.136161,0.288709936,0.1563919,0.288736457,0.2056424
0.289507254,0.1301595,0.289490929,0.05812019,0.289523018,0.1111087,0.289516067,0.1001154,0.289753683,0.1440642,0.289722261,0.1387719,0.289746922,0.1557175,0.289744816,0.2055711
0.290499165,0.1295956,0.290492699,0.05961765,0.290524724,0.1101052,0.290507767,0.1000619,0.290730825,0.1461589,0.290743691,0.1378617,0.29070587,0.1572453,0.290726211,0.2009873
