GH,logK2,logK3,a1,a2,a3,log diff
6.218041708309857141e-01,-2.812997832862612846e+00,3.524847766614078726e+00,5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01,-1.243251278891601252e+00
5.460199553549361928e-01,-6.324159841009280747e+00,2.888895434111672600e+00,5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01,-1.246368782727015123e+00
-1.023394980970969703e-01,1.600604986452166756e+00,-6.852282919874256528e+00,5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01,-1.159221797816017752e+00
4.149299709988357177e-01,-9.049714338977237205e+00,1.787736153931338556e+00,5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01,-1.246371156290972504e+00
9.703919946178622691e-02,-8.614826027177016954e+00,-1.677930630429562919e+00,5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01,-1.807108900955953112e+00
8.980486233497275705e-02,-7.008959116025639702e+00,-3.909253509653595415e+00,5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01,-1.859863617619399667e+00
9.686940789740117186e-02,-8.442054556037687618e+00,-4.144612680380368452e+00,5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01,-1.902126435860920228e+00
9.682082619735088436e-02,-7.236116703909405423e+00,-3.047957204625516781e+00,5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01,-1.904206195588593165e+00
9.096137687762934076e-02,-5.086133619362048996e+00,-2.664177176088771137e+00,5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01,-1.878027510815096335e+00
8.936683438319645290e-02,-9.096035651573995295e+00,-5.446845059088675001e+00,5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01,-1.844014731996136414e+00
7.662884750503051734e-02,-6.357479403979335864e+00,-3.213535600325303498e+00,5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01,-1.288730583542736507e+00
4.540420152335713500e-01,-7.102843959532158635e+00,2.116250657901221466e+00,5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01,-1.246369860485987191e+00
-8.772468889485737220e-01,1.316032203159574143e+00,-9.017828770840628394e+00,5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01,-1.157823076261972339e+00
9.374877818463756007e-02,-4.003855756237506114e+00,-2.494836881885586610e+00,5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01,-1.846091689691142790e+00
9.640487690254834208e-02,-2.250593296314932878e+00,-1.489054055544859478e+00,5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01,-1.405608358680506376e+00
8.557727191498076813e-02,-5.652142119406095233e+00,-4.181855213856469078e+00,5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01,-1.703372536412064875e+00
5.216722419340319439e-01,-7.581416230892444652e+00,2.689687889209647409e+00,5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01,-1.246346604538822067e+00
