GH,logK2,logK3,a1,a2,a3,log diff
1.028069908618349793e-01,-4.526944784572043190e+00,-3.232962819840345947e+00,3.534210615528082244e-01,6.676402880617166025e-02,5.730523940922548354e-01,-1.670914799006095963e+00
4.600946722735555494e-01,-9.196113605879531860e+00,2.267883717134104860e+00,1.577451597340061573e-01,4.684937073705480182e-01,5.959064185501840027e-01,-2.030117095499235358e+00
-1.603405490465877048e-01,2.322192124463417606e+00,-2.555529174259016045e+00,7.497862842134086492e-01,9.713888530354281015e-02,8.543889561231615692e-01,-1.931497256212016067e+00
-3.953502177691468056e-01,1.891197624025261037e+00,-4.220545473670500591e+00,7.698968442895648412e-01,1.036943731511372341e-01,2.114753788199543738e-01,-1.973693512676967687e+00
-4.789759625189062286e-01,6.201705581376444343e-01,-3.773892271102781582e+00,6.865466381545849428e-01,3.143586418005533956e-02,5.987532795618253356e-01,-1.873342641389704077e+00
-6.874664041413169890e-01,3.053553747274406760e+00,-6.062266610633379571e+00,8.952289345609238946e-01,1.316514809910858674e-01,3.369829627097720715e-01,-2.120632307939032124e+00
-1.512696589487797505e-01,2.239633406983820851e+00,-8.277398457375749530e+00,7.028863193931147446e-01,2.101628189781556966e-02,4.923487188698778549e-01,-1.876244774505243074e+00
7.666553011806194196e-01,3.937138128810333093e+00,4.872251718616038119e+00,2.478312073321209397e-01,2.072382339119543393e-01,5.917905602763906536e-01,-1.753349449964799245e+00
9.890240764788241212e-02,-8.840548265861055910e+00,-2.665400615943211982e+00,3.562508577387092368e-01,5.580005379066017568e-01,7.781459369218123312e-01,-1.874548001340839987e+00
4.344653272957778589e-01,-4.226881610874921313e-01,-4.686895398177918892e+00,3.594997020469986593e-02,6.337863482231003154e-01,1.737998136035445451e-01,-1.810831855884578623e+00
9.107669596620261432e-01,4.094203667449677120e+00,4.049855279291149635e-01,6.210680573981848529e-02,4.338982968221737901e-01,8.540890246514528661e-01,-2.122036227697550181e+00
9.031524908454247047e-02,-7.801796052732398401e+00,-2.131356208127433760e+00,8.230536921308304610e-01,9.316108547168596710e-01,1.059778417260703320e-01,-1.882926253124578064e+00
8.373260220014550059e-02,-6.797318769740911648e+00,-2.463709658072815500e+00,7.149434738328868111e-01,7.815217035462819206e-01,4.739557030737162613e-02,-1.646927681365069729e+00
9.728764381777912917e-02,-4.933275090430708332e+00,4.485534960283159567e-01,6.980632657471685931e-01,1.916146496438265734e-01,-8.894377256792319886e-02,-1.670780774246983125e+00
9.393321120694286819e-02,-9.152298497478311035e+00,-3.415230013793718378e+00,3.489987263962208708e-01,5.787684884262400686e-01,3.219077806753527504e-01,-1.945605243403143003e+00
8.662059677185607320e-02,-9.249550950009627570e+00,-6.073736983519650856e+00,7.085226649876509297e-01,3.820461744997448728e-01,6.684253237958357463e-01,-1.723890024427048973e+00
-1.545561870161855922e-01,2.049871342659518092e+00,-7.805928741229363865e+00,6.484739258800564787e-01,1.201862934591509113e-02,8.192232163185868554e-01,-1.812474876216967568e+00
-1.386914242151238152e-01,1.800454569475011146e+00,-1.342824342125703785e+00,5.265678426049124061e-01,2.126477287559158658e-02,9.623663421588780631e-01,-1.641658709685686945e+00
-9.039711414225496400e-01,-2.091218737594354504e+00,-7.769249065797420029e-01,6.263992342993561779e-01,5.276598327083109607e-02,8.024031142683196727e-01,-1.800981587656197647e+00
1.273428338094066137e-01,-9.073997207189430370e+00,-3.317225978491406213e+00,6.126317396242213220e-02,3.096790562286816373e-01,9.980120715413308696e-01,-2.118328695894887481e+00
7.805093535182219266e-01,-3.366081164226794264e+00,2.577778570529443147e+00,1.577009084973939324e-01,2.730199544780023135e-01,7.222955957909237279e-01,-1.940489762976451260e+00
3.204258356070836533e-01,-3.322346445119001679e+00,-8.891818657768070011e+00,1.359190787862768202e-01,9.654011765507939380e-01,4.315047084679435874e-01,-2.197329780494071461e+00
7.135662300122489476e-01,-4.933646932175914657e+00,4.954210091195800914e+00,2.965146424374413558e-01,9.246006494838826528e-01,8.750175303022481033e-02,-1.836315748251009516e+00
-9.537001228993553514e-01,-4.792990937849890720e+00,-1.528499954559392471e+00,4.857876730558798872e-01,4.711535717723547290e-02,8.934145543974818526e-01,-1.625435116864631047e+00
6.417164507197795631e-01,5.788761186302819883e-01,-8.600801638870544608e+00,2.662607049190207631e-02,6.527245292500370999e-01,5.355579246583574982e-01,-1.832738602083183066e+00
1.939006417163067209e-01,-2.217149289435722537e+00,-7.523953780321643414e+00,1.519380683321240044e-01,7.442608538217925229e-01,9.055778039379370759e-01,-1.892683260427086456e+00
4.061174201279829088e-01,-1.387942333000126593e+00,6.437251636386877252e+00,1.970205816514640218e-01,6.346104256793749787e-01,1.979943823348402632e-01,-1.772049247967581342e+00
9.560056652761406148e-02,-8.191446653038887860e+00,-4.138620705136647260e+00,3.776184194903830504e-01,2.513006767398340280e-02,7.254129250258060102e-01,-1.932796345673263083e+00
1.849549982852902452e-01,-2.284210969628082122e+00,-9.054343027210315142e+00,1.960603339662877476e-01,7.580331829364909124e-01,6.494475730065210062e-01,-1.847349956358596001e+00
4.365298416025121808e-01,-8.788638268092435979e+00,5.968580290861926763e+00,1.088846440971680957e-01,7.146622565263803795e-01,3.404628367103976205e-01,-2.129489542228549137e+00
9.031969882846935249e-02,-5.709446017079907065e+00,-3.314144373017222645e+00,7.340922318548518399e-01,5.972863941570822899e-01,5.867036527786638755e-01,-1.878094457760420388e+00
-6.602986604130278714e-01,3.000835228366714791e+00,-2.727117629421937917e-01,8.990486437165738920e-01,1.211767217596726592e-01,8.567713085357000491e-01,-2.130073477576520435e+00
-6.233293364162910688e-01,1.565693420059485641e+00,-8.631090427660584652e+00,7.567739258401441349e-01,1.438538662784996092e-01,7.130424899909650893e-01,-1.927105125229456650e+00
4.133193093372680149e-01,-8.564281539786936293e+00,-3.094960596374767836e-01,1.171464193517191832e-01,4.885050370632598032e-02,7.561400819263481843e-01,-2.115222968158895878e+00
-8.812041667410109858e-01,2.591437030171882760e+00,3.274087185913048259e+00,9.157605530160061180e-01,5.831181136235145945e-02,4.112612665900551856e-01,-2.116873284410063061e+00
-1.203787750437092519e-01,6.719849882213657644e+00,-4.800884850057742348e+00,1.937951656729932637e-01,6.925443780094339141e-01,6.511903695515219859e-01,-1.217864882107431823e+00
-9.934728754833410669e-02,5.668043816242345656e+00,-6.500631444768563583e+00,3.540521886395534001e-01,7.477750796090981700e-02,7.516658161426884588e-01,-1.234940033659484016e+00
-1.255141193865155769e-01,6.978757527795952598e+00,5.598015968303204914e+00,1.769214362052268785e-01,4.965464208796044332e-01,7.715090506081225818e-01,-1.198578207969063003e+00
9.630998900597509405e-02,-8.483821755777039897e+00,-4.236400685976574820e+00,8.636439016887457187e-01,4.958431439505717186e-02,8.073546443945903706e-01,-1.911092354900409296e+00
-2.569820866757728250e-01,1.898082326734391811e+00,2.776470894095028008e+00,7.095798569143657586e-01,1.211754588554555118e-01,7.191399711677514128e-01,-1.878603666033589192e+00
-9.349057064757160251e-01,4.119556571727494898e+00,-8.067267912773063543e+00,9.535916359068321579e-01,1.313190685553857484e-01,4.259199340686329327e-01,-2.187150999771490412e+00
1.250512240930723440e-01,-6.193653264120049684e+00,5.804918844623307983e-01,1.323809965211369954e-01,2.103919242743487739e-01,1.452499597365409789e-01,-1.827960379384115708e+00
3.200725215026854475e-01,-1.992730859413852418e+00,2.191777213808105085e+00,4.509560845795271278e-02,7.835050997058616851e-01,7.866651232014984507e-02,-1.986184025631142935e+00
8.670383274076466362e-01,-3.073551460246185751e+00,2.954772433553189970e+00,2.395208956171880621e-01,2.910672067182686895e-01,6.930166445775925999e-01,-1.822913517809049644e+00
-1.037791749544731967e-01,8.062139126762190244e+00,-8.387923528011844709e+00,3.197965783785581828e-01,4.403298710871377808e-01,7.139507955312973664e-01,-1.240005784429597524e+00
-1.639578540598659040e-01,1.981287057900815274e+00,-4.808853402877487859e+00,6.473257559281543339e-01,3.229754295668404995e-02,1.464456327649020506e-01,-1.816553319086276375e+00
-9.739481272241801157e-02,8.796836679143181570e+00,-1.906333147839291087e+00,3.691556894427270308e-01,5.373811405974250333e-01,9.212014191096388194e-01,-1.231076583725131179e+00
4.119576682577317794e-01,-1.534703718813169582e+00,8.611552874533863644e+00,2.576903187368726478e-01,3.868997343517281973e-01,6.963160871610932223e-02,-1.770469384560814152e+00
-4.868579105455282385e-01,3.279819343952098620e+00,-5.579871361922990047e+00,9.519410323497917714e-01,9.618986919507835354e-02,3.490645031657845232e-01,-2.180069378687755410e+00
-1.705309020079749383e-01,2.571643492229369610e+00,1.295216291262834662e+00,8.350370488853589013e-01,1.854076970244145639e-01,9.418419274320803947e-01,-1.957282498788692759e+00
-4.514656940235821092e-01,1.827436124657184413e+00,-3.342685250819428688e+00,7.510707487379906233e-01,1.492391525531278074e-01,9.274160195644058913e-01,-1.913568533333197763e+00
-2.030008898273942819e-01,2.168355674961885526e+00,-5.780491148577080907e+00,7.349026526067687914e-01,1.664822782756419928e-01,9.401309797169254967e-01,-1.864677173656829723e+00
-4.475129248696260165e-01,3.391466377949490685e+00,1.097800701425370340e+00,9.177009004232596912e-01,1.888516896287383839e-01,6.305512317945777268e-01,-2.079504981175011480e+00
-1.023098553337858929e-01,6.221646727265129684e+00,-9.084104155002574288e+00,3.311312921781306429e-01,3.251214910468337993e-01,6.982233866364564445e-01,-1.238881040316811122e+00
9.632744756944644493e-02,-4.758923923055375482e+00,-2.533543805833563312e+00,4.241352445977619179e-01,2.614756332900847191e-02,6.045056947024943783e-01,-1.912827604180548979e+00
9.480577831639644404e-02,-9.398579766433881488e+00,-2.019264856526870489e+00,6.014012046458958594e-01,6.168799218665981243e-01,1.163679539537589847e-01,-1.938715192781725438e+00
9.902763788509116871e-02,-5.935250828230417497e+00,-5.222502250722337536e+00,1.398318172799372094e-01,3.317166794662660956e-01,7.811745143826356319e-01,-1.820033814849703502e+00
-8.989671483064070046e-01,1.046256471212472672e+00,8.574390308467702226e+00,7.655782548618246253e-01,1.274056863960801866e-01,9.739123767216539829e-01,-1.953936390067101403e+00
-3.324767935776324346e-01,2.529604612761741755e+00,-6.404560778433511459e+00,8.524179571698289326e-01,9.794614146332113191e-02,5.453133458276329115e-01,-2.078767322195087974e+00
2.252986663436614689e-01,-9.234988862109605456e-01,1.116345589314570313e-01,2.753312181152996196e-02,2.505377139178828760e-01,5.481608475301417149e-01,-2.119994295112747729e+00
-2.195004294554273594e-01,-1.009613911038516720e+00,5.541025016220525679e+00,1.080394932298295751e+00,6.433655495035450755e-02,3.870324703188839366e-01,-1.343130897063943729e+00
4.584584949375548613e-01,-5.509599978099084083e+00,-2.186402791066051066e+00,1.668295020670974016e-01,1.929518074793688531e-01,8.810711277323343138e-01,-2.008521783523619320e+00
-2.269449201464043553e-01,2.009767915417825623e+00,-5.591879349738530181e+00,7.166214505538727186e-01,1.166103379386642103e-01,7.880464307227822429e-01,-1.892269860792175074e+00
2.529708932010572009e-01,-7.572038493928613612e+00,2.799641404133426992e+00,1.021587830703255539e-01,1.757540645559476922e-01,2.751383124521920021e-01,-2.139752480054977646e+00
-3.960153664085634406e-01,3.331910536704994819e+00,-1.236593254551389687e-01,9.310830854539396961e-01,1.713686818568637693e-01,6.859221153019678940e-01,-2.124204561175828676e+00
6.322865529532992745e-01,-7.630148855417284715e+00,-2.007897919684627386e+00,6.132389424748010964e-02,2.827589996862045485e-01,9.202300813587505068e-01,-2.182383786316498764e+00
7.515671094037772448e-01,-8.304594231531885029e+00,9.341430337220058888e+00,4.148101643593053445e-01,9.378174691456453438e-02,3.470935747490823120e-01,-1.405550767404892154e+00
-1.577039112707335489e-01,2.182576396991836365e+00,-4.969098238485930352e+00,7.382000553054238745e-01,2.416896066178005620e-01,5.555278261871092749e-01,-1.716300776586988208e+00
1.281803768424515377e-01,-6.733081694127795558e+00,1.402049714805069236e+00,3.681380026951950879e-01,1.316967203547571852e-01,-2.742557488968411228e-02,-1.602407299959306197e+00
4.640306236419744490e-01,-2.947419684526355610e+00,-6.882687594492057137e+00,3.477287526099255288e-01,8.179774739368255165e-01,5.609116614615194951e-01,-1.321392700247132179e+00
1.333830598031393588e-01,-8.219234123854887386e+00,2.339943425168955482e-01,1.127614014275832854e-01,4.264780904558512220e-01,1.867479354697537119e-01,-1.940202918444837277e+00
-6.051032277688359606e-01,3.443315225575950489e+00,-3.640864726402503138e+00,9.383408409610058953e-01,1.259206181133283309e-01,4.493336465780053968e-01,-2.172643684167932854e+00
