GH,logK2,logK3,a1,a2,a3,log diff
9.440853832664597434e-02,-8.330253751999833867e+00,-4.617596913201173159e+00,5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01,-1.944373751211382562e+00
9.847673122487168862e-02,-7.840011663299715217e+00,-3.495745568658344737e+00,5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01,-1.847822090571752396e+00
8.815434129270466324e-02,-8.533413290138220475e+00,-6.700663122780882830e+00,5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01,-1.803190487805541586e+00
9.398631019199910064e-02,-9.371697363867241393e+00,-4.352172830740610010e+00,5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01,-1.945595556956560390e+00
9.402011760872097668e-02,-7.198348233159857834e+00,-4.113011434353740725e+00,5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01,-1.943995045216357687e+00
9.403904193341805495e-02,-8.931193417434663218e+00,-4.509966395019848306e+00,5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01,-1.945600968011363507e+00
6.940601098650255318e-01,-8.475417561144285017e+00,4.132447077651010936e+00,5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01,-1.246369684042222703e+00
9.401117221834034976e-02,-8.195150340351657903e+00,-4.044059072234787777e+00,5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01,-1.945256726815295156e+00
9.401367466652366112e-02,-9.436382764716793048e+00,-4.363275347011121852e+00,5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01,-1.945600315563678073e+00
9.398563134216962600e-02,-9.442124372186285086e+00,-4.742835957893976051e+00,5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01,-1.945711181053420447e+00
9.396463571116808744e-02,-9.284855316229688071e+00,-4.899214391345989128e+00,5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01,-1.945700770206053809e+00
9.333239775490453916e-02,-8.782585510403634999e+00,-4.774517928916876208e+00,5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01,-1.943290197554899956e+00
