GH,logK2,logK3,a1,a2,a3,log diff
6.191175999870832669e-01,-8.316893514348182137e+00,8.605513398663533486e-01,5.722956197665235445e-02,2.579839595343277892e-01,7.938677056969681844e-01,-1.835706289345333975e+00
5.300278557928235212e-01,-6.768362115783519428e+00,6.810263033255306908e+00,4.926244456477402167e-02,1.932432932937353520e-01,4.270170615245522661e-01,-2.037129252348569342e+00
-1.475436764834276993e-01,2.880475572581384647e+00,-5.998426935263525550e-01,9.213263436475288559e-01,1.122860116464770019e-01,8.066347908577014003e-01,-2.131241387761081629e+00
-6.113106497077603896e-01,7.491205072696145439e-01,-4.850055266601726700e+00,6.957756084480061221e-01,1.214390985543156859e-01,8.834105618928100867e-01,-1.863297689862009721e+00
3.958362775597932259e-01,-4.821406298627091580e+00,2.177223703858341686e-01,9.467595282874810558e-02,6.746907743300385729e-02,7.144654631339454331e-01,-2.150812862503780565e+00
1.957837655199671789e-01,-6.364149346417975472e+00,5.966762312500586418e-01,3.780955791428571022e-02,9.189531891717142020e-01,4.145825672379926385e-01,-2.183139530182596211e+00
-6.507822818210153848e-01,3.544294497326247573e+00,-2.237895074459541611e+00,8.673897856134472617e-01,2.353840388467076383e-01,7.935241206719897411e-01,-1.923864069533180121e+00
3.172177792391429607e-01,-3.194509391708428403e+00,6.208557328600492475e-01,1.134887862716517787e-01,1.697437379503584087e-01,6.135716410783308428e-01,-2.121660296646632471e+00
1.536767567036409488e-01,-4.928890889354580196e+00,-1.706001118891681267e+00,9.398323237699529598e-02,2.512382160826105437e-01,7.036071816863611605e-01,-2.133112612237513250e+00
9.870483791520445749e-02,-6.506261512437792049e+00,-1.237878265086274965e+00,2.773117829257792377e-01,6.327963173049439005e-02,2.834528963302860305e-01,-1.931231206391148536e+00
8.735263023778984115e-01,1.196669794109681773e+00,-8.041640433206140304e-03,5.615288963857871518e-02,6.711982764554240699e-01,6.248302526631041021e-01,-1.857139496604462314e+00
7.542232885792672370e-01,-4.722117026344084145e+00,6.565477337818188097e+00,3.092182046912488325e-01,8.999769519322212141e-02,4.941856092148633195e-01,-1.643795590654616001e+00
-1.021637290380237872e-01,5.738007628770748880e+00,-9.347026845831528874e+00,3.322628229462558647e-01,3.310547053625325087e-01,3.591875637909373031e-01,-1.238738543530131020e+00
4.415417272878196520e-01,-2.722602587944159325e+00,4.137169737271390701e+00,1.538061594853188663e-01,8.562525748003180226e-01,1.644721431286090829e-01,-2.050999015711759910e+00
8.971483532031223618e-01,-4.180727083462102200e+00,-5.354828675486657197e+00,1.769085948025921062e-01,9.257967877569202031e-01,1.640021455544632967e-01,-2.109475444139687017e+00
-2.097326664704728949e-01,2.993467861300527222e+00,-4.360710824274039332e+00,9.403315556771527639e-01,8.048558235935313054e-02,4.944586882385796911e-01,-2.157651034925289313e+00
7.624719031193709640e-01,-9.355015166192240272e+00,2.208694354959663819e+00,1.753604561548414154e-01,2.006008705599202080e-01,7.236359322758618706e-01,-1.950723490261693227e+00
-7.434246194223550486e-01,3.833128570870790952e+00,3.570609066355763250e+00,9.483885880758293752e-01,1.371577746502793682e-01,8.288584101047428154e-01,-2.179028989858257326e+00
-6.717343830447710662e-01,-3.242819554107677360e-02,-3.604463825416654998e+00,7.058747050036956461e-01,3.491654934708360303e-02,7.681899639313085615e-01,-1.896564777772249855e+00
1.936321541667170021e-01,-7.541423153534108970e+00,-1.715711918453194818e+00,6.639327915312058515e-02,2.217260110526428074e-01,7.626394112018127780e-01,-2.174942851714168679e+00
-5.299558388918945706e-01,2.792470269151244633e+00,-2.849254074481646803e+00,8.140953832292404657e-01,2.305590846383859804e-01,9.607880107142652282e-01,-1.870355441998449608e+00
1.417358140090518304e-01,-4.284612105137040494e+00,-7.678072132984186116e-01,1.233274295010297200e-01,1.227753263430516883e-01,4.842568146044880506e-01,-2.083021719024490626e+00
8.363154338142743116e-01,-4.864591426219795345e+00,4.589673736611210586e-01,1.626096812244183232e-01,9.900732522999382557e-01,1.644173758507512240e-01,-2.202973236982459060e+00
8.703775248983924850e-01,-3.454445287096349126e+00,-5.437817754823496053e+00,1.897269006799208735e-01,8.716686859208614413e-01,1.059829603634798723e-01,-2.019544553946619914e+00
6.430616300882058267e-01,-8.608655192049746718e-02,1.565790158759972517e+00,7.109713684868171346e-02,6.065315057548202882e-01,7.490939823295803546e-01,-2.121793148646054838e+00
-4.338686775422231356e-01,1.806205576323625106e+00,5.304257103155827657e+00,7.685490373741927783e-01,1.052551890521995354e-01,7.870804518748576450e-01,-1.971323312045662135e+00
-5.690149237357536860e-01,2.212238214234835798e+00,-9.155603573434042630e+00,7.931284535180720408e-01,1.713450119026956320e-01,2.025317178481141622e-01,-1.943901634091689479e+00
5.528719261014304331e-01,-2.626308160100380373e+00,-9.413304265426445383e+00,1.528666758785305335e-01,8.452141801212078587e-01,5.873301624258185916e-01,-2.037471703106720433e+00
3.362605706093093061e-01,-8.878591533856553752e+00,4.973200201575057045e-01,3.035156776065932593e-01,1.918560135212631357e-01,5.988834783280685414e-01,-1.661426613399881402e+00
4.590443143734956322e-01,-4.112525150657160289e+00,-8.684978740515826301e-01,1.749199530605365926e-01,2.343306022926603394e-01,7.934742962622219897e-01,-1.988884868383408833e+00
4.714080449400503969e-01,-4.198271022854664913e+00,1.572903906326688084e+00,2.588660541197464471e-01,3.154013528471985017e-01,6.356863262747146637e-01,-1.536555971035056922e+00
5.194894939660693600e-01,-1.544115446888871812e+00,7.445317583365971714e+00,1.341471068784739484e-01,8.155889038897390364e-02,3.451102107158106613e-01,-2.080670883493617840e+00
-3.410315270166464074e-02,-5.651240563250866877e+00,2.557391217859352750e+00,1.063751441281552745e+00,1.872784163801684554e-01,2.024841679673490824e-01,-1.316195674910291213e+00
9.608759865620063179e-02,-4.772882128995727058e+00,-3.398598414638373200e+00,3.661750684579150872e-01,1.698820147860397034e-01,6.589531011807285843e-01,-1.924198865993354657e+00
9.725346859247895048e-02,-8.767092029851159651e+00,-2.810459911601835614e+00,4.246459507708509329e-01,1.624191663807315333e-01,4.040232760529492984e-01,-1.894737318079489530e+00
1.032416032363143721e-01,-3.600379522634615803e+00,-1.514420885525380456e+00,3.350605181689647605e-01,1.994837527168623614e-01,2.349186368824101034e-01,-1.713066828379751882e+00
1.099510363563180465e-01,-4.483064220547261947e+00,-1.551309653163608804e+00,2.722776286372246002e-01,1.838579549926901147e-01,5.522823668885100679e-01,-1.862882572349485066e+00
9.352962788477081624e-02,-5.478496520152640770e+00,-3.351897205983800365e+00,5.270729411048369339e-01,4.957368085178007755e-01,7.742653573921782773e-01,-1.920033065190039023e+00
8.475755879651531988e-01,-7.466538074399079683e+00,7.748517410834541153e+00,4.823299875651663182e-01,9.125905667356293272e-01,1.818803588334455545e-01,-1.366999906649385421e+00
1.221168355006630457e-01,-8.430069555302337037e+00,-1.663427072451478583e+00,6.171269338060020315e-02,2.468384094176742649e-01,5.905694364718601097e-01,-2.106369569385579066e+00
3.665269350242886803e-01,-4.993264911453653809e+00,3.741389393937947894e+00,3.934599505157918703e-02,1.651798004793796071e-01,4.233697194346579540e-01,-2.187217548166952685e+00
1.619913293847889124e-01,-6.316881873702254069e+00,-6.082192622778765934e-01,6.224899527338852850e-02,2.773094075148798132e-01,5.152186468606541059e-01,-2.166451029171448717e+00
-3.850523657154182322e-01,2.055365883154623763e+00,-3.928164660786710893e+00,7.604861076729350078e-01,1.635196440861896028e-01,2.484751358629110063e-01,-1.909752571999167037e+00
9.407980278779448646e-02,-8.969263935396906362e+00,-1.289506482480231586e+00,6.714914856943148269e-01,3.118196225354428197e-01,4.349239785202313469e-02,-1.930838103432983122e+00
5.959909629773489925e-01,-1.773434767504469933e+00,-1.740977287418730146e+00,1.621704663813464120e-01,2.306601689750560902e-01,8.686745468746788212e-01,-2.019678730583118309e+00
