organism[Km],1,3,10,30,100
1,0.03,0.045,0.055,0.058,0.059
1,0.025,0.038,0.045,0.048,0.05
1.2,0.035,0.054,0.068,0.073,0.075
1.6,0.041,0.069,0.091,0.101,0.104
1.6,0.027,0.046,0.061,0.067,0.07
2,0.021,0.038,0.053,0.059,0.062
2.5,0.025,0.047,0.07,0.08,0.085
2.6,0.026,0.051,0.075,0.087,0.093
2.9,0.021,0.042,0.064,0.076,0.081
3.1,0.021,0.043,0.066,0.079,0.084
3.3,0.02,0.042,0.066,0.079,0.085
3.5,0.032,0.066,0.106,0.128,0.138
3.7,0.016,0.034,0.056,0.069,0.074
3.8,0.016,0.033,0.054,0.067,0.072
4.2,0.026,0.056,0.094,0.118,0.129
4.4,0.014,0.032,0.054,0.068,0.075
4.8,0.016,0.036,0.064,0.081,0.09
4.9,0.016,0.035,0.062,0.079,0.088
4.9,0.015,0.033,0.058,0.074,0.082
5,0.016,0.035,0.062,0.08,0.089
5.4,0.015,0.034,0.061,0.08,0.089
6,0.013,0.03,0.057,0.076,0.086
6.4,0.029,0.069,0.132,0.178,0.203
7.6,0.013,0.032,0.064,0.089,0.104
8.7,0.017,0.042,0.088,0.128,0.152
11.7,0.023,0.059,0.132,0.206,0.257
16,0.02,0.055,0.133,0.226,0.299
16.4,0.021,0.056,0.138,0.235,0.312
22.4,0.017,0.046,0.12,0.222,0.317
26.4,0.021,0.058,0.155,0.3,0.446
28.2,0.013,0.038,0.102,0.202,0.305
28.8,0.017,0.048,0.132,0.262,0.399
29.6,0.018,0.052,0.142,0.284,0.435
30.3,0.017,0.047,0.13,0.261,0.402
30.5,0.02,0.055,0.153,0.306,0.474
31.1,0.01,0.027,0.075,0.151,0.235
32.4,0.02,0.055,0.154,0.314,0.494
33.8,0.014,0.04,0.113,0.233,0.37
35.1,0.014,0.04,0.112,0.233,0.375
36,0.019,0.054,0.152,0.317,0.513
42.3,0.015,0.044,0.127,0.276,0.467
43.1,0.014,0.041,0.12,0.261,0.445
44,0.019,0.055,0.159,0.347,0.594
45.1,0.017,0.048,0.14,0.308,0.531
45.7,0.017,0.048,0.141,0.311,0.539
53.8,0.013,0.037,0.111,0.252,0.458
58.7,0.014,0.041,0.121,0.282,0.526
58.9,0.019,0.056,0.167,0.388,0.724
59.7,0.016,0.045,0.136,0.317,0.593
62.5,0.015,0.043,0.129,0.303,0.575
65.2,0.018,0.052,0.156,0.369,0.709
66.6,0.016,0.047,0.142,0.338,0.652
69.2,0.008,0.024,0.072,0.173,0.337
77.3,0.014,0.042,0.13,0.317,0.64
80.6,0.017,0.05,0.155,0.381,0.777
80.8,0.011,0.032,0.097,0.239,0.489
84,0.018,0.052,0.16,0.395,0.816
84.2,0.011,0.032,0.1,0.246,0.509
91.4,0.012,0.035,0.107,0.268,0.567
97,0.013,0.038,0.118,0.299,0.642
99.5,0.016,0.046,0.143,0.362,0.784
101,0.013,0.039,0.121,0.308,0.669
101.9,0.008,0.022,0.07,0.178,0.388
102.9,0.007,0.02,0.064,0.162,0.354
110,0.016,0.048,0.151,0.388,0.861
115.1,0.012,0.034,0.108,0.28,0.629
115.2,0.02,0.06,0.189,0.489,1.099
115.4,0.007,0.02,0.063,0.163,0.368
156.4,0.01,0.03,0.095,0.254,0.615
352.9,0.007,0.021,0.069,0.196,0.552
708.3,0.007,0.021,0.068,0.199,0.606
782.9,0.007,0.02,0.068,0.198,0.607
