,Km,kcat,0.1147903994929156,0.115,0.2,0.2,0.5,0.5,0.8,0.8
Hsa,0.01,7.39,12.93,12.9,19.61,19.6,84.82,84.8,366.93,367.0
Tel,0.1,2.93,3.82,3.82,4.65,4.65,9.3,9.3,18.61,18.6
Cau,0.18,2.37,2.89,2.89,3.35,3.35,5.66,5.66,9.54,9.54
Mja,0.36,5.29,5.96,5.96,6.51,6.51,8.87,8.87,12.09,12.1
Tth,0.47,11.51,12.56,12.6,13.4,13.4,16.82,16.8,21.12,21.1
Eco,0.47,66.84,72.95,73.0,77.85,77.9,97.87,97.9,123.05,123.0
Mru,0.55,66.72,71.48,71.5,75.24,75.2,90.11,90.1,107.92,108.0
Bsu,1.14,71.07,70.04,70.0,69.28,69.3,66.68,66.7,64.17,64.2
Pma,1.98,7.53,6.96,6.96,6.56,6.56,5.35,5.35,4.36,4.36
Hth,9.64,3.94,3.04,3.04,2.51,2.51,1.27,1.27,0.64,0.64
