,Km,kcat,alpha,logC,logC_fit,C,C_fit
Hsa,0.007581398518332908,7.385483696200568,0.5,1.9285042807272346,1.2425050323094515,84.82117430127282,17.47853515240144
Tel,0.09909715456323168,2.928699553758633,0.5,0.968644228785644,1.2425050323094515,9.30345430291093,17.47853515240144
Cau,0.17514684397743596,2.3677866027427337,0.5,0.7526414009125441,1.2425050323094515,5.657719354499131,17.47853515240144
Mja,0.3560350066250034,5.291797024481296,0.5,0.9478568270374057,1.2425050323094515,8.86863593355606,17.47853515240144
Tth,0.46830388158973807,11.513780617694461,0.5,1.2259540714508201,1.2425050323094515,16.824961203062276,17.47853515240144
Eco,0.4663088039781885,66.83547590414794,0.5,1.9906702372691079,1.2425050323094515,97.87465343422356,17.47853515240144
Mru,0.5481512108132979,66.71503227421627,0.5,1.9547735115759703,1.2425050323094515,90.11010828412631,17.47853515240144
Bsu,1.1360681753971862,71.0699417617422,0.5,1.823983762485882,1.2425050323094515,66.6781838936181,17.47853515240144
Pma,1.9813408352644553,7.525854670282906,0.5,0.728076232322671,1.2425050323094515,5.346582004683851,17.47853515240144
Hth,9.639987816006453,3.944427818297452,0.5,0.10394577052723586,1.2425050323094515,1.2704154610971807,17.47853515240144
