,lnA2,A2,Ea2
Hsa,21.341196947220368,1855086100.3661308,50578.284995788505
Tel,27.11728970725414,598259059678.9872,67028.30747862042
Cau,19.823783471637643,406780168.77957356,49733.568537757455
Mja,26.618385591419973,363260335344.4462,65628.59989048012
Tth,30.61009746218095,19669640314746.332,73373.66070887337
Eco,21.58427482720871,2365546303.1599526,42823.83727042448
Mru,37.62625778493543,2.192179593412052e+16,86760.95478016305
Bsu,19.304980621169037,242128859.8610304,38704.79862741398
Pma,21.00168504204708,1321039867.8009868,50813.221646870305
Hth,21.671207748015874,2580393511.3175797,52930.46832832473
