organism[Km],Km,kcat,alpha,logC,logC_fit,C,C_fit
1.0,0.9905589402746265,0.05992489232332146,0.734893249745322,-1.2193652141434523,-1.3889532530056157,0.060344096033243956,0.04083633397610276
1.0,0.9875148005844406,0.04995473989577804,0.734893249745322,-1.2974134363093555,-1.3889532530056157,0.0504181102598447,0.04083633397610276
1.2,1.184244589636061,0.07587333720264482,0.734893249745322,-1.1738824094959548,-1.3889532530056157,0.06700660133656113,0.04083633397610276
1.6,1.5937335920296434,0.10585334429265114,0.734893249745322,-1.1240493676098018,-1.3889532530056157,0.07515374595528636,0.04083633397610276
1.6,1.6272465007628978,0.07091208482821987,0.734893249745322,-1.3046753829374718,-1.3889532530056157,0.04958206576532344,0.04083633397610276
2.0,1.990684412879261,0.06319583202616612,0.734893249745322,-1.4190464210490805,-1.3889532530056157,0.038102509404845226,0.04083633397610276
2.5,2.5119225380414165,0.08704175964430892,0.734893249745322,-1.3542342253776258,-1.3889532530056157,0.044234973824828,0.04083633397610276
2.6,2.6313762452486094,0.09503976814308454,0.734893249745322,-1.3308842453068463,-1.3889532530056157,0.04667837779640696,0.04083633397610276
2.9,2.9749921363234506,0.08339110287960887,0.734893249745322,-1.426841816933713,-1.3889532530056157,0.03742468753789625,0.04083633397610276
3.1,3.0914446854302606,0.08677316047454448,0.734893249745322,-1.421830947332038,-1.3889532530056157,0.03785899252535971,0.04083633397610276
3.3,3.311579183315761,0.08780921542700887,0.734893249745322,-1.4386302201517729,-1.3889532530056157,0.03642250233773849,0.04083633397610276
3.5,3.479979999323138,0.14282560851659543,0.734893249745322,-1.2431950131850489,-1.3889532530056157,0.0571222080680495,0.04083633397610276
3.7,3.794935052831692,0.07720877332001984,0.734893249745322,-1.5379867128398121,-1.3889532530056157,0.028974322327541404,0.04083633397610276
3.8,3.787720266625459,0.07492983838767321,0.734893249745322,-1.5503912169261707,-1.3889532530056157,0.02815845246154799,0.04083633397610276
4.2,4.220242635375966,0.13437788381939864,0.734893249745322,-1.3312284517191273,-1.3889532530056157,0.04664139682557435,0.04083633397610276
4.4,4.43167268391205,0.07818649265415947,0.734893249745322,-1.5820264893825922,-1.3889532530056157,0.02618023319484172,0.04083633397610276
4.8,4.828828364541566,0.09431736505413432,0.734893249745322,-1.5279590406775576,-1.3889532530056157,0.02965111022852964,0.04083633397610276
4.9,4.863528812783233,0.09208636549881863,0.734893249745322,-1.5406406827731969,-1.3889532530056157,0.02879780039836498,0.04083633397610276
4.9,4.7931981570174695,0.08586898541669725,0.734893249745322,-1.5663506685252226,-1.3889532530056157,0.02714246781202233,0.04083633397610276
5.0,4.990626926921737,0.09331578861177113,0.734893249745322,-1.5431143436728512,-1.3889532530056157,0.02863423971103843,0.04083633397610276
5.4,5.302853842864817,0.09381727258773642,0.734893249745322,-1.5601544533155307,-1.3889532530056157,0.027532493583622086,0.04083633397610276
6.0,6.063166667513488,0.09130161033483354,0.734893249745322,-1.6147221464326993,-1.3889532530056157,0.024281630920218997,0.04083633397610276
6.4,6.386457339055661,0.21598241056660775,0.734893249745322,-1.257361765663378,-1.3889532530056157,0.055288936259114414,0.04083633397610276
7.6,7.485309190907086,0.11160511423937691,0.734893249745322,-1.5947667435069095,-1.3889532530056157,0.025423378105704192,0.04083633397610276
8.7,8.792471274433467,0.16541251272679147,0.734893249745322,-1.4752524112148708,-1.3889532530056157,0.033477081437708174,0.04083633397610276
11.7,11.688681926550581,0.2867516036149345,0.734893249745322,-1.327187832889945,-1.3889532530056157,0.047077367217581496,0.04083633397610276
16.0,16.06185924638231,0.3470029983673619,0.734893249745322,-1.3457979781410447,-1.3889532530056157,0.04510264608670277,0.04083633397610276
16.4,16.338314434413608,0.3629982500795681,0.734893249745322,-1.3316732870704024,-1.3889532530056157,0.046593647841937626,0.04083633397610276
22.4,22.328872341561738,0.38765604453160685,0.734893249745322,-1.4028265392450638,-1.3889532530056157,0.039552456425784054,0.04083633397610276
26.4,26.305708651151075,0.5632509830263794,0.734893249745322,-1.292883205187864,-1.3889532530056157,0.050946786382487494,0.04083633397610276
28.2,28.175510306659806,0.39106562243563797,0.734893249745322,-1.4732513519828756,-1.3889532530056157,0.03363168665139276,0.04083633397610276
28.8,28.985572894548575,0.5147514920653754,0.734893249745322,-1.3629499856463274,-1.3889532530056157,0.04335608053744125,0.04083633397610276
29.6,29.642071605984277,0.5640584760895229,0.734893249745322,-1.3303715294121015,-1.3889532530056157,0.04673351752293068,0.04083633397610276
30.3,30.238205167074472,0.5236499059141246,0.734893249745322,-1.369009587346191,-1.3889532530056157,0.04275534475141344,0.04083633397610276
30.5,30.578324347546282,0.6187706395505794,0.734893249745322,-1.3000907902872256,-1.3889532530056157,0.05010824702032033,0.04083633397610276
31.1,31.155138765066862,0.3081434784181843,0.734893249745322,-1.6088319067252328,-1.3889532530056157,0.024613200714514016,0.04083633397610276
32.4,32.54332416618713,0.6547421510626816,0.734893249745322,-1.2954277489326498,-1.3889532530056157,0.05064916046012629,0.04083633397610276
33.8,33.817185612226396,0.49522105001648536,0.734893249745322,-1.4289537015236813,-1.3889532530056157,0.03724314076285256,0.04083633397610276
35.1,35.28906404452645,0.5072865656400748,0.734893249745322,-1.4320969307200668,-1.3889532530056157,0.036974564658421874,0.04083633397610276
36.0,35.91771155356475,0.6971389555187147,0.734893249745322,-1.299666482927086,-1.3889532530056157,0.0501572268910499,0.04083633397610276
42.3,42.26600236341984,0.6644495934055468,0.734893249745322,-1.3724678971706101,-1.3889532530056157,0.04241623366179987,0.04083633397610276
43.1,43.253857242406205,0.6374723420438864,0.734893249745322,-1.3978422663785937,-1.3889532530056157,0.04000900341102917,0.04083633397610276
44.0,43.77726304470082,0.8539437449939721,0.734893249745322,-1.2747132599508944,-1.3889532530056157,0.053123507289900625,0.04083633397610276
45.1,44.99516694972776,0.7699277248431272,0.734893249745322,-1.3284504780662236,-1.3889532530056157,0.046940695702105,0.04083633397610276
45.7,45.79158163482702,0.7858087011551971,0.734893249745322,-1.3251833258513022,-1.3889532530056157,0.047295157290544794,0.04083633397610276
53.8,53.68175021629539,0.7037636943235629,0.734893249745322,-1.4238110820171543,-1.3889532530056157,0.03768677006811834,0.04083633397610276
58.7,58.955729657118496,0.836103173774739,0.734893249745322,-1.3788877476753252,-1.3889532530056157,0.04179383774409116,0.04083633397610276
58.9,58.943542532554154,1.1507048120952759,0.734893249745322,-1.2401177079069141,-1.3889532530056157,0.05752839955621719,0.04083633397610276
59.7,59.578054579357605,0.9463268270187655,0.734893249745322,-1.3284578008868646,-1.3889532530056157,0.046939904222102896,0.04083633397610276
62.5,62.432804781365896,0.9339413163118141,0.734893249745322,-1.3491171925713947,-1.3889532530056157,0.04475925068902825,0.04083633397610276
65.2,65.09423420230236,1.1704250975770307,0.734893249745322,-1.2644165317906864,-1.3889532530056157,0.054398067076338125,0.04083633397610276
66.6,66.24070386463384,1.0839292412112345,0.734893249745322,-1.3033314918580599,-1.3889532530056157,0.049735731308602746,0.04083633397610276
69.2,68.64626822420053,0.5683828446102401,0.734893249745322,-1.5950764251476572,-1.3889532530056157,0.02540525596187788,0.04083633397610276
77.3,77.52370684431253,1.1361629804506292,0.734893249745322,-1.3330920478004482,-1.3889532530056157,0.04644168326215471,0.04083633397610276
80.6,80.43809384810622,1.402058102004758,0.734893249745322,-1.253544981409697,-1.3889532530056157,0.05577698289629178,0.04083633397610276
80.8,81.21385751321462,0.8861156425244942,0.734893249745322,-1.4558838956144344,-1.3889532530056157,0.03500387339554448,0.04083633397610276
84.0,83.91538617437024,1.5006763172809747,0.734893249745322,-1.2375311747595445,-1.3889532530056157,0.05787204448365736,0.04083633397610276
84.2,84.23246466408419,0.9376673562516531,0.734893249745322,-1.4429730964444656,-1.3889532530056157,0.0360600980740472,0.04083633397610276
