0h,0h,8h,8h,24h,24h,40h,40h
58.48117755,0.262159584,54.81094307,0.715706837,58.69069078,1.195219066,51.48473645,1.67235662
62.58478844,0.260495448,58.9121711,0.717674349,62.79221543,1.196716368,55.58742035,1.670160914
66.68261486,0.270522974,63.01160437,0.718497397,66.88995111,1.196168213,59.68631342,1.668093737
70.77864876,0.268624857,67.10725053,0.715442689,70.98788705,1.200133433,63.78141945,1.669359617
74.87687512,0.267231661,71.20509138,0.720566058,75.08402997,1.205675821,67.87872239,1.670412319
78.96932577,0.302507282,75.29715566,0.737708521,79.17639005,1.239293207,71.97224064,1.680065104
83.05998742,0.358258593,79.38942257,0.779942303,83.26895131,1.399293837,76.06396963,1.69567419
87.15085054,0.5002259,83.47791054,0.88638884,87.35773383,1.503219435,80.15191976,1.757879019
91.23992528,0.719436972,87.56859094,1.092153947,91.44671813,1.728574532,84.24206453,1.893152588
95.32522525,0.912377232,91.65350642,1.327715209,95.53391528,1.919323484,88.32843278,2.118455532
99.40874091,0.988024894,95.73862574,1.477864928,99.61733981,1.993609521,92.41301645,2.342814997
103.4924592,1.03212203,99.81997427,1.522669811,103.6989813,2.036668033,96.49382943,2.480497611
107.5724089,1.067421692,103.9015272,1.56307063,107.7808257,2.063475138,100.5748483,2.527323057
111.6525619,1.065834595,107.9812984,1.575827058,111.8608876,2.068108069,104.6560717,2.562926182
115.7309335,1.072095124,112.0592888,1.586145816,115.9371851,2.086748605,108.7335288,2.569362501
119.8055425,1.161761944,116.1335166,1.612521164,120.0136865,2.170175385,112.8072233,2.572559962
123.8783743,1.240967683,120.20795,1.705865376,124.0864275,2.239135076,116.8811249,2.625871495
127.9494299,1.272422507,124.2786249,1.77665747,128.1573923,2.277906245,120.9532501,2.729570955
132.0206902,1.289141511,128.3495059,1.809997409,132.228562,2.28264647,125.0236,2.788745656
136.0881961,1.292300486,132.4166324,1.809400643,136.2959773,2.285749788,129.0901955,2.803531232
140.1539294,1.289372142,136.481987,1.806569731,140.36162,2.27917943,133.1569993,2.799080855
144.2198683,1.256278982,140.5475486,1.79778275,144.4274684,2.247513367,137.2220313,2.785884337
148.2820588,1.259967687,144.6093618,1.788356281,148.4895685,2.23634277,141.2833149,2.788676118
152.3405047,1.231621107,148.6694065,1.749452429,152.5479241,2.219052922,145.3428308,2.760301139
156.3991589,1.214809035,152.7276838,1.7492178,156.6084625,2.202488097,149.4025562,2.747656442
160.4580199,1.221720298,156.7861694,1.725524664,160.6652587,2.185539763,153.4605144,2.737596816
164.5131407,1.234285256,160.8409146,1.701877528,164.7202892,2.173698495,157.5147322,2.716691823
168.5664968,1.260993577,164.8958687,1.681375951,168.7755272,2.160451388,161.5691604,2.702749424
172.6180895,1.195135346,168.9470863,1.677309527,172.827029,2.147385314,165.621825,2.691279321
176.6679199,1.151862156,172.9965424,1.669305306,176.8747983,2.143955273,169.6707552,2.686741126
180.7159893,1.106109598,177.0442381,1.642991223,180.924747,2.18109995,173.7179257,2.66513908
184.7622986,1.109856731,181.0921438,1.635139364,184.9709656,2.137887598,177.7653078,2.651047455
188.8088168,1.102876744,185.1363211,1.631302697,189.0154255,2.113898465,181.8109308,2.646510267
192.849642,1.084421733,189.1787414,1.623083339,193.0581277,2.10284672,185.8528274,2.641371046
196.8906783,1.091196175,193.2194058,1.601538357,197.0990734,2.216282313,189.892969,2.618403222
200.9299592,1.084190361,197.2583156,1.597650529,201.1382638,2.256812852,193.9333233,2.617293398
204.9674858,1.078029077,201.2954717,1.605370136,205.1757,2.188736874,197.9699572,2.620149889
209.0032594,1.07233085,205.3308754,1.592679223,209.2113832,2.08057227,202.0048395,2.612389388
213.0353184,1.076031705,209.3645279,1.5939504,213.2433519,2.091687512,206.0379712,2.62285334
217.0695518,1.095011548,213.3964301,1.614452303,217.2774949,2.083820823,210.0713168,2.613795892
221.098112,1.084955567,217.4265834,1.593158125,221.3059649,2.088201522,214.1009501,2.604497518
225.1268854,1.080926392,221.4549887,1.600261849,225.3346482,2.087326718,218.1288362,2.610013271
229.1519522,1.107071839,225.4816474,1.613711279,229.3615841,2.111278139,222.1549764,2.623541738
233.1791911,1.11643755,229.5065604,1.659435614,233.3867737,2.135613048,226.1813315,2.634632141
237.2007682,1.0599497,233.5297289,1.593036284,237.4082609,2.255545312,230.2039823,2.62074722
241.2225596,1.028968211,237.5511541,1.565070512,241.4299624,2.086210208,234.2248905,2.610504083
245.2406524,1.034946433,241.5708371,1.54978459,245.4499211,2.140750815,238.2440572,2.594047181
249.260915,1.013343053,245.5887791,1.526177347,249.4681381,2.023832958,242.2634401,2.579949853
253.2755272,1.008210507,249.6030262,1.517629242,253.4826606,2.01091528,246.2771709,2.571008839
257.2884015,0.99234098,253.6174902,1.518893822,257.4973985,2.001064994,250.2911201,2.554604983
261.3014916,1.004272079,257.6302165,1.517491485,261.5103981,2.007453562,254.3052862,2.549726166
265.3128445,0.976457316,261.6412063,1.498074919,265.5197091,1.998487744,258.3157618,2.529798319
269.3205106,0.997869922,265.6485092,1.506717582,269.5292364,2.003052477,262.3225506,2.54296877
273.3264434,1.005174329,269.6560301,1.511330676,273.5350789,2.014890532,266.3295588,2.53827559
277.3345422,1.020842671,273.6618178,1.514331833,277.5411384,2.019002948,270.3367851,2.53814831
281.3370101,1.045296068,277.6658735,1.53720683,281.5454652,2.042043784,274.3383791,2.542986991
285.3377482,1.052506166,281.6662501,1.549286744,285.5461131,2.067001466,278.3401935,2.550563985
289.3367575,1.073536115,285.6648986,1.57486504,289.5450324,2.073635464,282.3402788,2.578475919
293.3359847,1.06210275,289.6637665,1.589741821,293.5441697,2.057281925,286.3386361,2.597569199
297.331539,1.061673815,293.6589612,1.580936513,297.539634,2.047764471,290.3333203,2.614243013
301.3253678,1.021523891,297.654376,1.534972835,301.533373,2.023439841,294.328226,2.584796155
305.3194155,1.01510984,301.6480654,1.526317306,305.5273308,2.014489367,298.3233517,2.570454347
309.3117383,0.99019937,305.6400306,1.51407453,309.5195638,1.997460994,302.3128647,2.549516827
313.3003958,1.0199461,309.6283305,1.519130316,313.5081317,2.017585722,306.3026,2.545216672
317.2873324,1.017509466,313.6168514,1.51448963,317.4949787,2.005699722,310.290614,2.529566549
321.2725492,1.01655372,317.6017109,1.521163621,321.4820457,2.008900626,314.2749667,2.548269875
325.2579862,1.019457756,321.5848524,1.521368001,325.4654534,2.008899179,318.2595424,2.534487441
329.2378277,0.998105928,325.5662768,1.517174624,329.4452054,2.011088567,322.2404607,2.55165876
333.2178916,0.991029983,329.5459854,1.51440101,333.4271172,2.001091355,326.2216026,2.542970618
337.1962401,0.998874765,333.5259165,1.50877816,337.4053756,2.005415057,330.1990908,2.546571099
341.17481,0.998437068,337.5021959,1.51341429,341.3819197,1.988840404,334.1768033,2.540248696
345.1497302,0.973765275,341.4786983,1.495401843,345.3567507,1.987400278,338.1528024,2.525041225
349.1229383,0.978379711,345.4515529,1.496054437,349.3318036,1.98126544,342.1251536,2.514959158
353.0944355,0.987008331,349.4246311,1.487334233,353.3032108,1.975777541,346.0977299,2.526407195
357.0642228,1.001806503,353.3921322,1.49234217,357.270976,1.981872721,350.0666622,2.514718353
361.0323014,0.981200499,357.3598591,1.490443427,361.240897,1.970185442,354.0338872,2.504736194
364.9986723,0.995369159,361.3278104,1.505075016,365.2071781,1.976910946,358.001338,2.519519264
368.9633366,1.013826779,365.2921236,1.50643761,369.1717528,1.996173497,361.9670819,2.525322325
372.9262955,1.02835422,369.2547319,1.514338327,373.134622,2.00913809,365.9291897,2.524386227
376.88755,1.02956932,373.2156366,1.53352497,377.0957869,2.009659107,369.8895945,2.536850193
380.8471013,1.008468779,377.1767667,1.524267327,381.0552487,2.005581888,373.8502263,2.532911124
384.8030239,1.016044938,381.1323391,1.524610512,385.0110819,1.990315894,377.8072276,2.538914162
388.7610985,1.013460196,385.0881392,1.516854713,388.969067,1.993443473,381.7625292,2.53839936
392.7136217,1.044904928,389.04224,1.525749,392.921501,2.007044493,385.7161323,2.53196492
396.6663718,1.060975002,392.9946425,1.543679737,396.8741617,2.023193993,389.6699633,2.547679245
400.6174241,1.045051237,396.9472719,1.538887993,400.8270479,2.019848366,393.6201717,2.551913061
404.5667797,1.058413802,400.8943573,1.548538582,404.7743912,2.018400305,397.5686847,2.552052761
408.5144397,1.029338665,404.843594,1.548161449,408.7219621,2.011129184,401.5174265,2.563696549
412.4584846,1.016036115,408.7872923,1.536970894,412.6659179,1.991414054,405.4606292,2.553045431
416.4027575,0.984364116,412.73122,1.512155336,416.6120217,1.959889168,409.4059842,2.54299946
420.3453382,0.931458429,416.6734561,1.471142769,420.5525935,1.926997428,413.347726,2.516673283
