0h,0h,8h,8h,24h,24h,40h,40h
5,350.6243,5,352.5835,5,349.8415,5,344.2539
5.04,352.0341,5.04,348.6122,5.04,345.1485,5.04,333.5075
5.08,340.4583,5.08,343.6679,5.08,352.6343,5.08,338.3513
5.12,342.0643,5.12,336.0548,5.12,347.357,5.12,338.5351
5.16,341.3476,5.16,339.698,5.16,342.0919,5.16,326.3942
5.2,344.8668,5.2,336.1329,5.2,333.0213,5.2,330.963
5.24,326.5086,5.24,327.1567,5.24,330.6631,5.24,331.1398
5.28,330.9303,5.28,324.8913,5.28,332.5612,5.28,319.6811
5.32,328.8813,5.32,315.9195,5.32,329.225,5.32,319.0711
5.36,327.2232,5.36,320.9046,5.36,327.3616,5.36,330.4739
5.4,323.2633,5.4,320.78,5.4,320.0335,5.4,317.9423
5.44,316.4083,5.44,319.0629,5.44,319.1214,5.44,319.4919
5.48,325.3452,5.48,308.3116,5.48,315.2518,5.48,315.5094
5.52,316.0247,5.52,311.4109,5.52,308.8117,5.52,311.8613
5.56,311.7721,5.56,306.4226,5.56,306.3303,5.56,303.5611
5.6,305.4037,5.6,300.1626,5.6,303.3448,5.6,300.2809
5.64,305.402,5.64,292.4906,5.64,302.7368,5.64,295.4654
5.68,297.3638,5.68,297.136,5.68,301.597,5.68,290.8911
5.72,305.5755,5.72,297.0305,5.72,291.6894,5.72,294.2187
5.76,297.8318,5.76,292.3143,5.76,289.3276,5.76,285.2497
5.8,292.0936,5.8,289.3655,5.8,286.5323,5.8,285.8649
5.84,289.5527,5.84,288.3927,5.84,294.301,5.84,283.1703
5.88,285.1925,5.88,287.4567,5.88,289.9048,5.88,282.2083
5.92,280.8378,5.92,282.2045,5.92,284.37,5.92,272.5045
5.96,284.6591,5.96,276.9644,5.96,282.4562,5.96,278.0483
6,284.9355,6,278.6542,6,273.8862,6,278.7352
6.04,283.3745,6.04,279.8765,6.04,276.6614,6.04,273.1422
6.08,275.9856,6.08,273.0227,6.08,272.4252,6.08,272.2023
6.12,268.8037,6.12,270.5,6.12,271.0583,6.12,261.6012
6.16,264.4889,6.16,264.6444,6.16,269.016,6.16,272.4924
6.2,277.6592,6.2,271.3882,6.2,272.0835,6.2,260.9568
6.24,268.381,6.24,264.4969,6.24,273.5553,6.24,261.5587
6.28,265.3974,6.28,262.5909,6.28,268.8716,6.28,257.4399
6.32,268.3117,6.32,259.1879,6.32,264.1651,6.32,252.7847
6.36,256.2999,6.36,255.0735,6.36,262.2881,6.36,255.877
6.4,258.7232,6.4,254.6768,6.4,260.8501,6.4,252.8824
6.44,252.3008,6.44,254.858,6.44,254.6142,6.44,255.6059
6.48,254.0455,6.48,248.5737,6.48,254.8231,6.48,250.2322
6.52,253.5366,6.52,249.46,6.52,251.3332,6.52,248.7645
6.56,250.5598,6.56,248.3277,6.56,251.8344,6.56,243.2207
6.6,251.243,6.6,243.5724,6.6,246.5149,6.6,244.2293
6.64,248.549,6.64,241.3457,6.64,250.8176,6.64,243.6028
6.68,243.8116,6.68,245.4955,6.68,244.4632,6.68,242.624
6.72,244.4134,6.72,242.3922,6.72,245.8038,6.72,240.5404
6.76,242.6036,6.76,242.9444,6.76,241.2356,6.76,241.5546
6.8,239.5578,6.8,231.4268,6.8,241.0064,6.8,235.5723
6.84,237.6207,6.84,233.3778,6.84,237.3063,6.84,231.1697
6.88,238.6707,6.88,227.5507,6.88,236.5691,6.88,235.9752
6.92,233.7483,6.92,231.4774,6.92,239.0483,6.92,224.3312
6.96,234.4896,6.96,232.9201,6.96,236.9273,6.96,226.9095
7,230.8801,7,228.1577,7,232.5685,7,230.7048
7.04,232.9288,7.04,229.9858,7.04,229.0246,7.04,227.494
7.08,227.4249,7.08,221.7019,7.08,229.9075,7.08,226.255
7.12,230.7202,7.12,227.2258,7.12,222.5321,7.12,218.4747
7.16,226.4405,7.16,223.0859,7.16,227.13,7.16,218.5711
7.2,217.3508,7.2,223.1544,7.2,224.907,7.2,217.5198
7.24,219.0656,7.24,212.6674,7.24,220.9534,7.24,217.5348
7.28,221.3947,7.28,215.1253,7.28,223.6561,7.28,216.0225
7.32,220.465,7.32,221.6152,7.32,216.7682,7.32,215.8229
7.36,212.2243,7.36,214.2428,7.36,218.843,7.36,206.0127
