date,ID,conditions,action,ohm,Eapplied,sub_dir,CV,CA,UV
210909,210130C,cross cell CA 65mAcm2 +Uvvis,checkj,21,4130,210909insitu\,005CV.CSV,006CA_210909_100mAcm2_0Pi_210130C_entire.CSV,210909_100mAcm2_0Pi_every15min_210130C_1_2.txt;210909_100mAcm2_0Pi_every15min_210130C_3.txt
210913,210715A,cross cell CA 50mAcm2 +UVvis,control,14.2,3070,210913insitu\,002CV.CSV,003CA_210913_50mAcm2_0Pi_every15min_210715A_entire.CSV,210913_50mAcm2_0Pi_every15min_210715A_1.txt;210913_50mAcm2_0Pi_every15min_210715A_2.txt;210913_50mAcm2_0Pi_every15min_210715A_3.txt
211105,210715D,cross cell CA 85mAcm2 +UVvis,85mAcm2,16.1,4260,211105insitu\,002CV.CSV,003CA_211105_85mAcm2_0Pi_every1hr_210715D.CSV,211105_85mAcm2_0Pi_every1hr_210715D.txt
210917,210916A,cross cell CA 50mAcm2 +UVvis +P,125mMPi,17.3,3320,210917insitu\,002CV.CSV,210917_003CA_50mAcm2_125mMPi_every1hr_210916A_1.CSV,210917_50mAcm2_125mMPi_every1hr_210916A_1.txt
211028,210916B,cross cell CA 65mAcm2 +UVvis +P,125mMPi_65mAcm2,18.5,3940,211028insitu\,CV2.CSV,211028_65mAcm2_125mMPi_210916B.CSV,211028_65mAcm2_125mMPi_210916B_every15min_part1.txt;211028_65mAcm2_125mMPi_210916B_every15min_part2.txt;211028_65mAcm2_125mMPi_210916B_every15min_part3.txt
211020,210916D,cross cell CA 65mAcm2 +UVvis,65mAcm2,17.3,3845,211020insitu\,002CV.CSV,003CA_65mAcm2_0Pi_every15min_210916D.CSV,211020_65mAcm2_0Pi_every15min_210916D_165349_part1.txt;211020_65mAcm2_0Pi_every15min_210916D_152709_part2.txt;211020_65mAcm2_0Pi_every15min_210916D_132957_part3.txt
211108,211029A,cross cell CA 85mAcm2 +UVvis +P,125mMPi_85mAcm2,18.6,4510,211108insitu\,002CV.CSV,003CA_85mAcm2_125mMPi_211029A_every1hr_1.CSV,211108_85mAcm2_125mMPi_211029A_every1hr.txt
211111,211029C,cross cell CA 50mAcm2 +UVvis +Mn7,add60uMMn7@24hr,15.9,3170,211111insitu\,002CV.CSV,003CA_50mAcm2_0Pi_211029C_1.CSV,211111_50mAcm2_0Pi_211029C_every1 hour_2_add Mn7.txt;211111_50mAcm2_0Pi_211029C_every15min_2_add Mn7.txt;211111_50mAcm2_0Pi_211029C_every1hr_1.txt
211115,211029D,cross cell CA 50mAcm2 +UVvis +Mn7,add60uMMn7@16hr,15.1,3080,211115insitu\,002CV.CSV,003CA_211115_50mAcm2_0Pi_211029D_1.CSV,211115_50mAcm2_0Pi_211029D_every1 hr_1.txt;211115_50mAcm2_0Pi_211029D_every5min_2.txt;211115_50mAcm2_0Pi_211029D_every1hr_3.txt
211119,211118A,cross cell CA 50mAcm2 +UVvis,control,16.4,3200,211119insitu\,002CV.CSV,003CA 211119 50mAcm2 0Pi 211118A.CSV,211119_50mAcm2_0Pi_211118A_every1hr.txt
211122,211118B,cross cell CA 50mAcm2 +UVvis +Mn7,add60uMMn7@24hr,17,3250,211122insitu\,002CV.CSV,003CA_50mAcm2_0Pi_Mn7_211118B.CSV,211122_50mAcm2_0Pi_Mn7_211118B_every5min_1.txt;211122_50mAcm2_0Pi_Mn7_211118B_every1hr_2.txt
211125,211118C,cross cell CA 50mAcm2 +UVvis,control,14.7,3070,211125insitu\,002CV.CSV,003CA_50mAcm2_0Pi_0Mn7_211118C_1.CSV,211125_50mAcm2_0Pi_0Mn7_211118C_every1hr.txt
211129,211118D,cross cell CA 50mAcm2 +UVvis +Mn7,add60uMMn7@24hr,16.5,3220,211129insitu\,002CV.CSV,003CA_50mAcm2_0Pi_addedMn7_211118D_1.CSV,211129_50mAcm2_0Pi_added Mn7_211118D_every1hr_1.txt;211129_50mAcm2_0Pi_added Mn7_211118D_every5min_2.txt;211129_50mAcm2_0Pi_added Mn7_211118D_every1hr_3.txt
211203,211203A,cross cell CA 50mAcm2 +UVvis,control,15.6,3130,211203insitu\,002CV.CSV,003CA 50mAcm2 0Pi 0Mn7.CSV,211203_50mAcm2_0Pi_0 Mn7_211203A_every1hr.txt
