,III_H2SO4,VII,Baseline,III_H3PO4,r2
0.0,4.216324269184082e-07,1.754455273923549e-06,0.0006212462731683615,0.0,0.06275281219713962
1.0,3.005166540327539e-06,9.239511106781595e-06,0.003182713076967273,0.0,0.6589380600540671
2.0,4.341994725926198e-06,1.4750896336464946e-05,0.005606368267600385,0.0,0.7558649919311538
3.0,5.352275107951562e-06,1.962500494770669e-05,0.021315715313429684,0.0,0.60787082068998
4.0,5.779708133187075e-06,2.3660384879266208e-05,0.0714656389053077,0.0,0.5592751426744871
5.0,6.962250009630267e-06,3.057244621408773e-05,0.016704202757505213,0.0,0.587716973638016
6.0,7.611422154370314e-06,3.476628458601358e-05,0.05694715275556483,0.0,0.5167127835560428
7.0,7.649929166150441e-06,4.147268874896244e-05,0.008128020122504352,0.0,0.6213364225816267
8.0,7.40012819204012e-06,4.6930272366223406e-05,0.010527682976171857,0.0,0.6427587698809751
9.0,7.224682361171103e-06,5.143464559858597e-05,0.019600053196944463,0.0,0.6049978315745689
10.0,7.82269527238296e-06,5.81061584414564e-05,0.006780614977988164,0.0,0.6681339377100234
11.0,7.958483277467145e-06,6.297970440667673e-05,0.0003181835190750196,0.0,0.6113144074178614
12.0,7.116582310168658e-06,6.783729382745475e-05,0.01907615942904193,0.0,0.5581894465074037
13.0,7.247090779512294e-06,7.330980230443837e-05,0.0050273593954573165,0.0,0.5762293942675962
14.0,7.407319861280301e-06,7.87263959753841e-05,-0.0013969615645092518,0.0,0.6871149697828517
15.0,8.568893173090505e-06,8.423685486226778e-05,0.008257497466467936,0.0,0.525270717485723
16.0,6.5656044358534725e-06,8.951865624389942e-05,0.010992305830923815,0.0,0.7016558921750897
17.0,8.043432231643776e-06,9.450663613531792e-05,0.017660636546112347,0.0,0.5318448735830407
18.0,8.111996573658363e-06,9.971282257675775e-05,0.0007014385655962199,0.0,0.6162190236093119
19.0,7.630878991727559e-06,0.00010438725948699819,0.012727093433351414,0.0,3.7846215914454695
20.0,7.90631000959858e-06,0.00010990931063586587,0.002089717378223599,0.0,0.7685615111459043
21.0,8.103121283056747e-06,0.00011457607631115162,0.012679388777367032,0.0,0.6919439259617639
22.0,8.282970290094127e-06,0.00011898600123520937,0.010387595015886477,0.0,0.896828959947571
23.0,9.747985731923161e-06,0.00012461163868953884,0.004062489345423741,0.0,0.6433973947230417
24.0,9.044408115656182e-06,0.00012880387808417564,0.019466556913696784,0.0,0.7840895453407448
25.0,1.0273996407261851e-05,0.000134203637085777,0.018976113915992788,0.0,0.6308864734986793
26.0,9.704269942865252e-06,0.0001392765480469854,0.010925518388116076,0.0,0.8027914453661086
27.0,1.0723335186034282e-05,0.00014550052902504067,0.007112226935608009,0.0,0.7386855720283911
28.0,1.11582757247007e-05,0.00015313184739753765,-0.0003649691916287415,0.0,0.7567261278709277
29.0,1.1038234137420176e-05,0.00015814112055627394,0.005680156849267266,0.0,0.8293136234544173
30.0,1.1911974660765353e-05,0.00016498049501540173,1.9218073825795108e-05,0.0,1.121643764979967
31.0,1.1727223673145614e-05,0.00017129964510535057,0.009804249878677078,0.0,1.1737021148074263
32.0,1.2221008607333949e-05,0.0001761945002189953,0.004783995596944289,0.0,1.1410718736923862
33.0,1.2843786168519389e-05,0.00018165584205216825,0.0007561052607755104,0.0,1.2856936154671936
34.0,1.3083134412907638e-05,0.00018645375997559022,0.012436951415234538,0.0,1.1071652095990896
35.0,1.4315268677248453e-05,0.00019129386347477891,0.020579850198594513,0.0,1.2918580769791919
36.0,1.4202297568187593e-05,0.00019657882638089605,-0.00031126869775470657,0.0,1.3752921632737725
37.0,1.5118420415535606e-05,0.0002004659059644571,0.008753401527984494,0.0,1.2689318771142093
38.0,1.6695922974757836e-05,0.00020419396327395024,0.006076856427449416,0.0,1.3864762437770823
39.0,1.786576340966067e-05,0.0002042730742423669,0.01823823044101631,0.0,1.8089947324653892
40.0,3.489128308629374e-05,0.00019080781794170013,0.005121508570276825,0.0,1.6781236433002096
41.0,5.864375526147585e-05,0.0001725567943926039,0.003037023730098069,0.0,2.169803827444623
42.0,6.510182931287877e-05,0.00016687231861407033,0.007525225957215135,0.0,2.8105165094500033
43.0,6.749611645545307e-05,0.00016221453452467747,0.012438825193997137,0.0,1.6188153557134919
44.0,6.853323109429083e-05,0.00015805107308263663,0.015617570816113644,0.0,1.0563252169846962
45.0,6.951548377683999e-05,0.0001541156530462474,0.016131176149405922,0.0,1.7746213773459614
46.0,6.9295715159547e-05,0.00015053747067177446,0.02146639633823119,0.0,1.3495795858027475
47.0,7.001244308733476e-05,0.0001470025513130678,0.026080357452850252,0.0,2.4529266644684515
48.0,7.00122963789464e-05,0.00014398872536028432,0.02545685206492653,0.0,1.3425679601994362
49.0,7.018835077904517e-05,0.0001411300607088155,0.02865739201701319,0.0,1.4874915000757754
50.0,7.034730175106575e-05,0.00013886140281573942,0.03469366581702544,0.0,2.1336059773112592
51.0,7.064010016920616e-05,0.00013654020493647747,0.03457778832872434,0.0,2.0957277825177245
52.0,7.057273543154544e-05,0.00013419359517859766,0.03387567524312045,0.0,2.6537170444881237
53.0,7.030494203901091e-05,0.00013221532839954994,0.037730748332746866,0.0,1.859323015348424
54.0,6.95914613886364e-05,0.00013068070451466776,0.04004916138237863,0.0,2.36233884868193
55.0,6.965006817314409e-05,0.00012884286425039786,0.04185029022326637,0.0,1.7789585505870025
56.0,7.024215158103739e-05,0.00012694216439646956,0.04578634073347288,0.0,1.9747848136968649
57.0,6.996015838953387e-05,0.0001254533728988963,0.054473790161449834,0.0,1.9911678232323409
58.0,6.93451650115807e-05,0.00012424069258940986,0.0701742013906482,0.0,2.1627087151260547
59.0,6.633141779344936e-05,0.0001236825081251131,0.0721605663164039,0.0,2.522445091276081
60.0,6.941497935772547e-05,0.00012213350852011975,0.06804867966910867,0.0,1.8480453827364365
61.0,6.930651110139454e-05,0.00012116710326342282,0.0725558260672761,0.0,41.14554451871302
62.0,6.85319180725238e-05,0.00012104570118489737,0.07442112758121709,0.0,1.972866586237466
63.0,6.830116547366077e-05,0.00012017982118187409,0.07513810121843743,0.0,1.9356618803141148
