,III_H2SO4,VII,Baseline,III_H3PO4,r2
0.0,9.927374984249663e-07,2.3347030552286104e-06,0.0018513087153667754,0.0,0.029987651628275238
1.0,3.851086407989172e-06,1.2321983844028081e-05,0.038739127764564875,0.0,0.3774269784427234
2.0,5.539925144252108e-06,1.983413994598495e-05,0.049885915445731226,0.0,0.5062241782360608
3.0,5.953661897317933e-06,2.3803413752032495e-05,0.03342614127642344,0.0,0.47221838597079197
4.0,7.065499471197117e-06,3.001650357047721e-05,0.05562886448691903,0.0,0.422706013502462
5.0,7.065443463269908e-06,3.650946953778538e-05,0.05429806660149504,0.0,0.4386112705890804
6.0,7.137010809786222e-06,4.310420626086701e-05,0.021554073613252248,0.0,0.4286108139844493
7.0,8.745194252519404e-06,4.826656479976403e-05,0.04433611688973078,0.0,0.4006046540527349
8.0,6.732401469528662e-06,5.5449083491205896e-05,0.0032405205278490923,0.0,0.5117973521588621
9.0,6.909811552270978e-06,6.081210213790423e-05,0.01735478656597194,0.0,0.403025159367768
10.0,7.586365007203452e-06,6.514424991219528e-05,0.05609140356296875,0.0,0.42250009815933276
11.0,6.519001359916048e-06,7.342762773442239e-05,0.007831891072497167,0.0,0.5087719926582303
12.0,6.169074460444688e-06,7.783463963707158e-05,0.03931514343376996,0.0,0.4572192728352854
13.0,8.365605104553866e-06,8.230250679533627e-05,0.06348520688473448,0.0,0.4806940535327128
14.0,6.424719205894252e-06,8.955475370657802e-05,0.010896689915031302,0.0,0.4976712079181225
15.0,6.687419861581844e-06,9.35323706684833e-05,0.04617795137550066,0.0,0.5242016206272889
16.0,7.277140232378488e-06,9.860328332573919e-05,0.05791300552174901,0.0,0.5102852191243386
17.0,7.167063024263749e-06,0.00010554583513022316,0.010501561212717624,0.0,0.5644543808914204
18.0,7.358369899216766e-06,0.00010916344418182827,0.04708872885072171,0.0,0.5032279360468236
19.0,5.987597719712962e-06,0.00011493188066316376,0.0674695930424069,0.0,0.5188101202370131
20.0,7.804306660163715e-06,0.00012083303161172851,0.014411955146942091,0.0,0.6305053356770265
21.0,8.720442264998872e-06,0.0001244368473519108,0.055925035262364815,0.0,0.48750533489658926
22.0,7.207616393067973e-06,0.00012922915661060108,0.041037580438504244,0.0,0.6881095260593123
23.0,1.0008108595531242e-05,0.00013755086109898377,0.028512021932117902,0.0,0.6580565345591166
24.0,1.0193360358226747e-05,0.00014449996624395293,0.011156607177523222,0.0,0.7271234049582733
24.083333333333332,1.0219429492985684e-05,0.00014474972328348766,0.01110330093309172,0.0,0.7466036312856443
24.166666666666664,-5.008175519701031e-06,-2.253369805345106e-05,0.041508275302477644,0.0,536.4929709310338
24.25,-6.074222050269752e-08,2.4608967214265924e-06,0.0006531707593125531,0.0,0.12787647202101313
24.333333333333332,-1.685864611089136e-08,2.97793457405236e-06,0.002019219282095738,0.0,0.21767538471405337
24.416666666666664,2.9030966477084843e-07,3.415473322280006e-06,0.00454001043488812,0.0,0.26778605646641934
24.5,2.565996558429346e-07,3.8297367738011486e-06,0.008185711702313612,0.0,0.284018037151199
24.583333333333332,3.632512042772915e-07,4.091158924626568e-06,0.012780681944165023,0.0,0.3050233471805424
24.666666666666664,6.088270290020934e-07,4.326340327968072e-06,0.0179002358191458,0.0,0.3299478339599435
24.75,8.084668470610627e-07,4.512044695749655e-06,0.02378408422059667,0.0,0.381837372869172
24.833333333333332,7.763294535989501e-07,4.780016392369886e-06,0.03049811388630331,0.0,0.43798394330207996
24.916666666666664,-1.9538006933628186e-06,4.857774339889729e-06,0.03480612318093413,0.0,0.4654888859740639
25.0,4.844036492740453e-07,5.884011845913321e-06,0.017602222696356605,0.0,0.47134809777529657
25.083333333333332,7.09754061136862e-07,6.154266444674016e-06,0.02100186963474554,0.0,0.45419563947595093
25.166666666666664,8.650082494906721e-07,6.4739124730175046e-06,0.02425755573491908,0.0,0.5720201754792175
25.25,-1.1991489904716865e-07,2.5630352126666913e-06,0.023453119232178576,0.0,0.6158810603298476
25.333333333333332,4.1194629473114956e-07,7.175752858322524e-06,0.01873533156926235,0.0,0.4833263759695771
25.416666666666664,-6.481358678726933e-08,7.817094686238015e-06,0.005509424110770827,0.0,0.5435937203961531
25.5,-1.2778511848307814e-07,8.562517903985331e-06,0.005417427424614705,0.0,0.5201830026084369
25.583333333333332,2.1407172796498782e-07,8.691443911585014e-06,0.004955923673132837,0.0,0.5347173124459269
25.666666666666664,9.452380790492302e-08,9.064803493754131e-06,0.004891534727344302,0.0,0.5313788237447449
25.75,1.2753495192573156e-07,9.397144133294726e-06,0.005330720605505054,0.0,0.4676541426322812
25.833333333333332,2.6747956805674933e-07,9.718572323609519e-06,0.006114459299147796,0.0,0.5065929076827353
25.916666666666664,1.577639891943185e-07,1.0060114445098187e-05,0.007099763825308101,0.0,0.5559977688507678
26.0,1.7745487355268523e-07,1.0389308542285302e-05,0.007788775564464648,0.0,0.5794606547448257
26.083333333333332,1.6339245671070453e-07,1.079434384823805e-05,0.008444293740265762,0.0,0.4635376344175527
26.166666666666664,2.9352092200143986e-07,1.1071662728248911e-05,0.01045564708086846,0.0,0.46606978517071784
26.25,3.2998312935792766e-07,1.1424819596655527e-05,0.006600723530354552,0.0,0.5026931373608625
26.333333333333332,4.4818932538180034e-07,1.192843412844087e-05,0.004043122088387646,0.0,0.5302550832755072
26.416666666666664,5.656709066829737e-07,1.2242734625808531e-05,0.004874259888106493,0.0,0.5015716332992883
26.5,5.403597552198845e-07,1.2588677981136414e-05,0.005430884268291721,0.0,0.4878031799717349
26.583333333333332,3.916425937326043e-07,1.2871661525083141e-05,0.005555328014567383,0.0,0.541235373104084
26.666666666666664,3.577596436100716e-07,1.32164785666735e-05,0.006401718094900325,0.0,0.5103941967553199
26.75,4.6922595977876853e-07,1.3536282302587892e-05,0.00714591251631643,0.0,0.5252798952847167
26.833333333333332,4.497565410125482e-07,1.3866665051976906e-05,0.00847180826224931,0.0,0.45998841653522476
26.916666666666664,8.021608111416191e-07,1.4350974868514402e-05,0.009948468994940623,0.0,0.4843043718531376
27.0,8.657250889775168e-07,1.5402563895966524e-05,0.01251762223051531,0.0,0.43529322666729653
27.083333333333332,5.731354832733847e-07,1.479267729682521e-05,0.015454749481754343,0.0,0.4500257595368452
27.166666666666664,7.152060619806238e-07,1.5634812235294993e-05,0.016833617782717886,0.0,0.4689373187949452
27.25,5.227472703588802e-07,1.535522774975749e-05,0.02096533630495894,0.0,0.5086527220009083
27.333333333333332,6.795002854455845e-07,1.577126837816429e-05,0.021775870039945727,0.0,0.4619318338949641
27.416666666666664,1.2376426540729636e-06,1.6151019913066017e-05,0.022955164474715167,0.0,0.539259398715661
27.5,8.49200065854398e-07,1.6298606731707548e-05,0.026590557923009437,0.0,0.4871305961526593
27.583333333333332,1.5595317949988443e-06,1.726245601063093e-05,0.032659976908710836,0.0,0.4335738979812934
27.666666666666664,8.136462739606156e-07,1.6877417371369885e-05,0.03845250797169131,0.0,0.42708885701422955
27.75,8.866647056074562e-07,1.7629565389385233e-05,0.04172139948420284,0.0,0.3596744503247468
27.833333333333332,1.2603916101178952e-06,1.735776922799386e-05,0.050518369043123824,0.0,0.4398731258054055
27.916666666666664,1.3622482532592807e-06,1.7917649960407267e-05,0.05450135185743872,0.0,0.35546808331980095
28.0,7.080849044291829e-07,1.7939972988307676e-05,0.0557190908693661,0.0,0.3343484131818256
28.083333333333332,1.085527603193259e-06,1.8494923507728822e-05,0.057163987000677007,0.0,0.476744865781061
28.166666666666664,2.907895322197401e-06,1.8644624091285764e-05,0.06174329202536531,0.0,0.34337021372469445
28.25,-3.115333084279907e-05,1.988490449790998e-05,0.06379071126388466,0.0,4.239022382025475
28.333333333333332,1.1316602697691102e-06,2.1352442501856126e-05,0.004089101909961583,0.0,0.5264323282891761
28.416666666666664,1.0862827714518503e-06,2.1760400497854385e-05,0.004637720250904318,0.0,0.5787123735044897
28.5,1.0672592426332443e-06,2.2237238025318955e-05,0.004927260058290793,0.0,0.46804990343044434
28.583333333333332,1.321602643511111e-06,2.254403927817038e-05,0.00742406132995199,0.0,0.5304911959678492
28.666666666666664,9.379770793939251e-07,2.29846921937317e-05,0.009361741971148177,0.0,0.44493637026846544
28.75,1.04346177208892e-06,2.340821700925524e-05,0.015154209688252535,0.0,0.4460524155395047
28.833333333333332,1.1855894045265953e-06,2.362919037832582e-05,0.011474456350796098,0.0,0.5015585127126206
28.916666666666664,1.0559905450370025e-06,2.3938608614679135e-05,0.01232043446453703,0.0,0.5009890937409364
29.0,1.3336892263548383e-06,2.429429027456504e-05,0.013256684131121766,0.0,0.4158871772249795
29.083333333333332,1.4002870397165582e-06,2.4687875168931664e-05,0.011346499615494648,0.0,0.4559661814919999
29.166666666666664,1.4672755823962116e-06,2.5147470113096545e-05,0.01192063250488636,0.0,0.39118310816330465
29.25,1.5500642344290049e-06,2.5581574345882876e-05,0.012032275679730836,0.0,0.4473683909763762
29.333333333333332,1.6384797090505963e-06,2.6202364166440947e-05,0.008285212809442924,0.0,0.4491737895467404
29.416666666666664,2.4676444820293367e-06,2.6608207421710738e-05,0.008953060128632591,0.0,0.42824343416619226
29.5,1.3984221671954652e-06,2.5497618568400315e-05,0.010931050992863225,0.0,0.4362117247972722
29.583333333333332,1.4216735573417363e-06,2.6918515734005258e-05,0.01042841897742294,0.0,0.473503145603413
29.666666666666664,1.4267098361678264e-06,2.750543152333783e-05,0.006903414351487936,0.0,0.5291376949126998
29.75,1.5815194473038717e-06,2.7927918942169096e-05,0.007161052889965619,0.0,0.4196224270648744
29.833333333333332,1.8507728425876159e-06,2.8336392501240803e-05,0.008576348340898413,0.0,0.39209358034736336
29.916666666666664,1.3625196089136134e-06,2.8743610865909765e-05,0.009653495842954881,0.0,0.40228011931441027
30.0,1.7242438042102321e-06,2.9105148265058745e-05,0.00960009693382528,0.0,0.35163642798423894
30.083333333333332,1.5032606775093125e-06,2.9496912810509667e-05,0.010206551800696781,0.0,0.48098357660930524
30.166666666666664,1.9816771185345267e-06,2.9777702243466515e-05,0.010431648230310349,0.0,0.38032029996123934
30.25,1.8445842673279172e-06,3.015613652056815e-05,0.011823051476961914,0.0,0.42401854797867977
30.333333333333332,1.8812930552985431e-06,3.0510768878355282e-05,0.01220025239170009,0.0,0.3964440084872078
30.416666666666664,1.8994931134395725e-06,3.105750037297398e-05,0.012267848022720095,0.0,0.43848015600155654
30.5,1.8771222703662891e-06,2.957692758813553e-05,0.0056093435351223745,0.0,0.5391189562463921
30.583333333333332,2.040073172265943e-06,3.237515422492245e-05,0.0022600528466033176,0.0,0.46200782101360127
30.666666666666664,2.1267556488628324e-06,3.268727105827791e-05,0.00230998278953984,0.0,0.47194545510199387
30.75,2.2257678589609928e-06,3.320169027568576e-05,0.0026923746471292486,0.0,0.46371170870244793
30.833333333333332,2.0140715445009103e-06,3.344101003107994e-05,0.0036520371840634163,0.0,0.45891824685351923
30.916666666666664,2.130513794417016e-06,3.413420133162159e-05,0.004261128348782996,0.0,0.4354576180446661
31.0,2.2771051700684764e-06,3.426893047480822e-05,0.00503750180622168,0.0,0.46331015127274416
31.083333333333332,2.241773877933793e-06,3.4656100974731616e-05,0.005644343267754604,0.0,0.45479365444589526
31.166666666666664,2.3428757860335274e-06,3.524323908746687e-05,0.007191090245490036,0.0,0.4099492670126957
31.25,1.449508538542859e-06,3.628114277147717e-05,0.008164591598988287,0.0,0.3968585264983306
31.333333333333332,2.3374977932871548e-06,3.6196099915087214e-05,0.008336226200323722,0.0,0.4038381278379001
31.416666666666664,2.2353387002557936e-06,3.636259070221931e-05,0.009745894768472471,0.0,0.5678560880531405
31.5,2.167363382676471e-06,3.6832541056625686e-05,0.01080412476517869,0.0,0.46697566836361815
31.583333333333332,2.4006767142577307e-06,3.717731196015437e-05,0.012347865107588821,0.0,0.4439030705758524
31.666666666666664,1.5035885650779603e-06,3.339436707693887e-05,0.017749203803098423,0.0,0.5434895857790374
31.75,2.6744743534543163e-06,3.878354288621842e-05,0.00991718419251718,0.0,0.3941778849882509
31.833333333333332,2.602006813901984e-06,3.922061647962969e-05,0.011005672677258101,0.0,0.4299905839807315
31.916666666666664,3.4947745609746376e-06,3.9720821685911646e-05,0.011523574934697077,0.0,0.39694480063613036
32.0,2.624715128704071e-06,4.0053215667632e-05,0.014053974968971386,0.0,0.4452558656612937
