,III_H2SO4,VII,Baseline,III_H3PO4,r2
0.0,-1.1724305825338872e-06,0.0005133981313748991,-0.005860760928718481,0.0,132.81488293687548
1.0,3.7475283542511045e-06,0.0005203904282520087,-0.0031197728234393426,0.0,30.88595683068068
2.0,6.909496347269149e-06,0.0005272456768166238,0.0014094357522507937,0.0,64.52136356466538
3.0,9.759376086391676e-06,0.000533922759219039,0.00801027788928546,0.0,47.57295643495617
4.0,1.1098276493529137e-05,0.0005392969663985994,0.02372317124873124,0.0,158.5894473219776
5.0,1.4297010248495109e-05,0.0005420084676894875,0.023066813799993435,0.0,76.78989812538953
6.0,1.2648464393672481e-05,0.000551450660008738,-0.004842074517727176,0.0,113.08482160559454
7.0,1.2679934609480489e-05,0.0005571938700960766,0.007785601821755479,0.0,35.554656478862405
8.0,1.1800685396324171e-05,0.0005620787987724059,0.03493415158200457,0.0,223.0938270891629
9.0,1.2791287485390462e-05,0.0005678340181720307,0.0421443867339799,0.0,47.57742370709853
10.0,1.6270547388484e-05,0.0005746314011218984,-0.005754326325286909,0.0,23.57941655018155
11.0,1.5646271763811842e-05,0.00058104706829679,0.005064544001339963,0.0,32.40820565602847
12.0,1.6923502839813364e-05,0.000585648973175575,0.01916203196421161,0.0,29.867637442615422
13.0,1.6795877912096164e-05,0.0005924230475846975,-0.007003540136166483,0.0,14.788072988275127
14.0,1.780836616829484e-05,0.000598166986887316,-0.0038512862809866872,0.0,14.519667670291293
15.0,1.8079507222752055e-05,0.0006037936946338302,0.0032565168503506233,0.0,79.35673105825445
16.0,1.8547330448174e-05,0.0006097841649821773,0.013811110920931173,0.0,17.8365799644723
17.0,1.670405913889638e-05,0.0006152958965995774,0.00495551300938622,0.0,47.34546626615066
18.0,1.912427441027006e-05,0.0006205934312134369,-0.003794828892151951,0.0,43.09748051749973
19.0,2.0865111051257102e-05,0.0006266016878684028,0.003605649798779041,0.0,51.30884152902543
20.0,1.761931918080219e-05,0.0006319583165671709,0.00778667630770945,0.0,40.326286100014464
21.0,1.8319635197509116e-05,0.0006373873039081228,0.008874584691441045,0.0,134.77912439898677
22.0,2.293451538959337e-05,0.0006439069076766981,-0.001431923139936506,0.0,38.723730260804224
23.0,2.6075864116470503e-05,0.0006488848126134892,0.0041700092091136705,0.0,163.15800194980562
24.0,2.2592043380744014e-05,0.0006540007114873272,-0.004756547314649469,0.0,96.16912502632297
25.0,2.4075084801556652e-05,0.000659484924030124,-0.001983408903143441,0.0,55.42324786226349
26.0,2.7921178668543386e-05,0.0006646309904412987,0.0009695442418239435,0.0,26.244734546825917
27.0,2.480257076202603e-05,0.000669627715894411,-0.006010434855124555,0.0,82.89984829222878
28.0,2.5978717704744933e-05,0.0006749060796878834,-0.001059051768720095,0.0,124.21473943850053
29.0,2.8828010708463954e-05,0.0006801740457362997,0.0023675705410399904,0.0,64.09967708539935
30.0,3.137137312447499e-05,0.0006839017848172674,0.003885126204638561,0.0,96.94507468835306
31.0,2.860981366707199e-05,0.0006884904487066453,-0.002999466697036027,0.0,55.08706773369439
32.0,2.9071291984625656e-05,0.0006929753992004112,0.004346267464285273,0.0,114.7355557809021
33.0,3.169467612815392e-05,0.0006982304070658896,0.004647915056349945,0.0,54.29515895591789
34.0,3.193073554627335e-05,0.0007001633150085004,0.0005488218704734212,0.0,29.676322549120837
35.0,3.3731228664030445e-05,0.0007058811697663914,-0.0027788376746690656,0.0,95.92608573826884
36.0,3.633643207350043e-05,0.0007105610734801511,0.0017128837912455774,0.0,59.98887585040775
37.0,3.918043833309006e-05,0.0007150969165997166,0.006315602493855782,0.0,49.41004519205397
38.0,3.6346824023283216e-05,0.0007179291703108545,0.001326875622513085,0.0,33.07576444756244
39.0,3.925762827142248e-05,0.0007207608084038255,-0.001293316734278737,0.0,47.642333342598086
40.0,4.090789664161403e-05,0.0007236173044408203,0.008471459514329066,0.0,47.39973272674335
41.0,4.5937843657047364e-05,0.0007254559439673874,0.012160482455242136,0.0,25.078869051672385
42.0,4.654942121870459e-05,0.0007231522890994394,-0.0009835971875733359,0.0,18.432267459055158
43.0,8.280041797716123e-05,0.0006980987916788534,0.003890486555552515,0.0,63.63265947824146
44.0,0.0001038940144653544,0.0006815059897913205,0.003784288096536786,0.0,163.78450272502812
45.0,0.00010381316882411116,0.0006727153248349135,0.00485531122570459,0.0,106.57033880500947
46.0,0.00010539277587746641,0.0006638071649393966,-0.0017571332158478614,0.0,82.09652507101573
47.0,0.00010381299587266392,0.0006544410581779944,-0.0014338201470872386,0.0,86.86655769259768
48.0,0.00010357917497484573,0.0006449501875530418,-0.0018459036359160183,0.0,39.377406286146
49.0,0.00010343023993024938,0.0006361064150594879,-0.00327158590799335,0.0,77.900341412346
50.0,0.00010373167112116778,0.0006271171618788078,-0.004055924043569821,0.0,233.70610013300228
51.0,0.00010472774965726065,0.000618046325432158,-0.003439259829497793,0.0,120.57095805152106
52.0,0.00010595027002406713,0.0006097267599244028,-0.004088932965398392,0.0,60.99063505168746
53.0,0.00010678291956961723,0.0006014091803705033,-0.004447946478231353,0.0,96.82655548378895
