,III_H2SO4,VII,Baseline,III_H3PO4,r2
0.0,3.767111038912295e-07,1.3696888227521183e-06,0.005862944691101359,0.0,21.3615949393042
1.0,-1.0058947508025139e-05,9.030297193471147e-06,0.060075935938008654,0.0,50.262797291521615
2.0,-2.6347313007532498e-05,1.1615621132283243e-05,0.14729406469249784,0.0,179.47350308544026
3.0,-2.4439028546643274e-05,1.903873005573699e-05,0.15376084920112656,0.0,136.3208840079016
4.0,-2.78848163455598e-05,2.1861458720637823e-05,0.18227976870291718,0.0,7.624708994211531
5.0,-6.591068177361277e-06,2.688054213281215e-05,0.0495140526791438,0.0,31.092786940807557
6.0,-1.9943570035872582e-05,3.049433960920111e-05,0.11677776415467594,0.0,39.082672132333805
7.0,-2.499905389511857e-05,3.264309131359431e-05,0.14954990165453297,0.0,9.76809781473647
8.0,-1.6926299384028856e-05,3.894813073124189e-05,0.11697090666010171,0.0,45.44738793988634
9.0,-1.098968536810928e-05,3.9684127777335176e-05,0.07724619369840599,0.0,37.90522258708526
10.0,-1.8090003253717887e-05,4.5436334644091385e-05,0.11341200957822947,0.0,4.7026992722132075
11.0,-2.489415367697037e-05,4.9229441589134114e-05,0.15555960889518905,0.0,63.649849355553975
12.0,-1.685212734818408e-05,5.12405060690274e-05,0.11462111281657393,0.0,11.507609919742771
13.0,-2.8299863250660555e-05,5.5702265328721894e-05,0.13612746395089856,0.0,10.473797670380787
14.0,-2.5084159192934648e-05,6.08155093801771e-05,0.15285172960492116,0.0,33.759407247269976
15.0,-2.7947131356209342e-05,6.370105337785971e-05,0.17285675550971286,0.0,30.629894643868035
16.0,-1.1652567170623405e-05,6.885477768228446e-05,0.07283680349742923,0.0,37.793458725931934
17.0,-7.051784892656494e-06,7.419177166761369e-05,0.07233823274083648,0.0,30.930554087333107
18.0,-8.825621731311473e-06,7.690490779250785e-05,0.07260777766079506,0.0,5.495152233507265
19.0,-1.4685356631132407e-05,8.002923144203676e-05,0.0863603638259377,0.0,127.9717162598981
20.0,-2.2591714551374878e-05,8.177838271738906e-05,0.1375397065552426,0.0,18.49627531398142
21.0,-2.7244842273424114e-05,8.512084131565345e-05,0.15981333643714787,0.0,13.772368430166944
22.0,-8.672926744584076e-06,8.961468353317135e-05,0.06041655075596147,0.0,28.426648852810537
23.0,-6.440077485309535e-06,9.304264846177495e-05,0.06356880120490199,0.0,26.795031456658148
24.0,-1.9844314285302764e-05,9.681890815611676e-05,0.129839568319457,0.0,39.880790885373486
25.0,-1.4286276870172026e-05,9.810622006694602e-05,0.07333183674104088,0.0,11.828385062135617
26.0,-1.3446574858153138e-05,0.00010252770161540384,0.08529267423566501,0.0,17.385648971339364
27.0,-2.6266344355279872e-05,0.00010493046339767071,0.14748797508187375,0.0,25.56479827479721
28.0,-1.199171975938418e-05,0.00010915234891263418,0.07762243169088656,0.0,37.91992960997808
29.0,-1.7371471591226387e-05,0.00011216720756113175,0.10209382132037988,0.0,6.281397498491011
30.0,-2.6203471780399703e-05,0.00011642370972112067,0.1558828268777948,0.0,42.39734415583731
31.0,-3.0809437423968105e-06,0.00012060835490492768,0.03765945790413711,0.0,48.30688684669923
32.0,-3.351759626039111e-05,0.00012797124652938146,0.10597788114988671,0.0,8.34062932837133
33.0,-1.0467187614282832e-05,0.00012630218553848785,0.06540021397276635,0.0,28.569522466029525
34.0,-1.1215797049391987e-05,0.00013024262293801397,0.08781146816697724,0.0,24.337203813365445
35.0,-2.072086853525362e-05,0.0001341137465183165,0.1419586772902224,0.0,8.366072508334938
36.0,-1.3444614915800923e-05,0.0001350333255852047,0.10541780732960836,0.0,20.94022978234871
37.0,-2.3046600235642957e-05,0.0001403943888038811,0.14055904975250233,0.0,61.499754022101136
38.0,-2.1477184211306993e-05,0.00014520491935872444,0.1328191553483024,0.0,32.400423070659535
39.0,-2.270960164570508e-05,0.0001473921121160355,0.1416687609283008,0.0,46.43071745608917
40.0,-2.1196386425347194e-05,0.00015095284913417404,0.14150408642272577,0.0,49.732910506937685
41.0,-3.5836608674026835e-07,0.00015674792330151185,0.02254588850477761,0.0,34.454524810077785
42.0,-1.5245061946418625e-05,0.00015954599678260272,0.11206428209723118,0.0,25.411934002346346
43.0,-1.8319060168593393e-05,0.0001638695159021179,0.14411582448650795,0.0,15.697061126152688
44.0,-3.119481925232281e-05,0.00016676333075431776,0.17219896976283353,0.0,24.80247617133813
45.0,-2.0354791959963936e-05,0.00017051001621714516,0.10866486386473971,0.0,117.90374899584211
46.0,-2.0059007282766145e-05,0.0001737179152508716,0.13439134471227673,0.0,41.253089983927325
47.0,-2.498834502238974e-05,0.00017613225598014855,0.1726175929042493,0.0,66.16255736221244
48.0,-1.8478866665466357e-05,0.00017987617798833618,0.147957017072627,0.0,16.145777202399543
49.0,-8.746967135429144e-06,0.0001837679097949973,0.0833720547788432,0.0,40.27665506052533
50.0,-1.4632551030489234e-05,0.00018877372926152513,0.11799820424188896,0.0,8.401909298553926
51.0,-3.686085369892834e-05,0.00019269958156419305,0.14085502073677755,0.0,86.31453800940285
52.0,-1.527969153345194e-05,0.00019608963452886005,0.11660447125305837,0.0,6.630353427587758
53.0,-1.1349866056544416e-05,0.00019677102321638863,0.12093029251233046,0.0,40.38273268773402
54.0,-1.0873129025501249e-05,0.00020072462187786013,0.1054329648423396,0.0,124.06159306165688
55.0,-1.5535460475238502e-05,0.00020461812783364932,0.11752984284052488,0.0,36.71776818890788
56.0,-2.4106673069412328e-05,0.00020909751395951378,0.16845503974564038,0.0,62.38154311392904
57.0,-1.47690088729151e-05,0.00021413907339203167,0.14146764213162036,0.0,29.522065920105135
58.0,-7.889345192908026e-06,0.00021481954816186133,0.07841035480150393,0.0,18.01556080907934
59.0,-3.474287372741207e-06,0.00021932362428188,0.06698563935609678,0.0,33.878564787745994
60.0,-1.8327634887349246e-05,0.0002241878144316871,0.13518203053857147,0.0,54.78024950445543
61.0,-1.6389735255851796e-05,0.00022632963151971315,0.15245787291916305,0.0,48.729595073215734
62.0,-2.8373077136161147e-06,0.00022929867936633872,0.061470297630042615,0.0,82.15945771612596
63.0,-1.0357985882324159e-05,0.0002320982015912614,0.10703056012333607,0.0,55.02274706940042
64.0,-1.3209151159509556e-05,0.00023528335577375082,0.1298073762550349,0.0,17.579403935715074
65.0,-1.9739588808665157e-05,0.00023856614846106224,0.1695838398144686,0.0,77.45318831442998
66.0,-1.5330827869009203e-05,0.00023709961540020297,0.13657471203479085,0.0,157.54917798399853
67.0,-2.1533381502826713e-06,0.00023602037374421896,0.07831321602671157,0.0,80.30348353471895
68.0,-5.0945090392563454e-08,0.00021455527326569104,0.15364032333355523,0.0,151.81666233963728
69.0,2.7894565478234693e-05,0.00017758791717345417,0.15713506202394464,0.0,177.86822018533405
70.0,4.651202147559634e-05,0.0001553587762670372,0.1786641698731686,0.0,169.29455584853446
71.0,5.137280880814909e-05,0.00014191253757141051,0.20217515709813602,0.0,53.79349426195993
72.0,6.351675712482802e-05,0.00013099918128452358,0.1853028044215949,0.0,93.81595123033526
73.0,6.71787003289653e-05,0.0001220576594004109,0.18009389376678844,0.0,97.75850427418305
74.0,8.570007329037031e-05,0.00011410500140582902,0.08671534575800584,0.0,86.41815492869854
75.0,8.942749611618253e-05,0.0001086894070319505,0.08340553218201892,0.0,116.22451239227586
76.0,9.087628241517041e-05,0.00010556799837737663,0.07518588058139448,0.0,221.9484595683377
77.0,9.427924231340656e-05,0.00010467204159237665,0.0706991523032961,0.0,57.763301767276346
78.0,9.165197163822754e-05,0.00010162856605196574,0.07797662919286691,0.0,54.26520308335682
79.0,9.253243025283888e-05,9.865435831392585e-05,0.08677283854914569,0.0,64.6498606909381
80.0,9.351089596665894e-05,9.761626542572756e-05,0.07450382283648536,0.0,144.13692850133893
81.0,9.15797624493582e-05,9.667785704839746e-05,0.0810414857386379,0.0,101.62318315170826
82.0,9.013001931379806e-05,9.526516546477071e-05,0.08316624385162374,0.0,12.895116155351367
83.0,8.998125405615925e-05,9.377603281261868e-05,0.08903926335672141,0.0,36.549175070443525
84.0,8.653595094404234e-05,9.402804053742749e-05,0.10786960563665766,0.0,121.62737964852174
85.0,8.279347441141662e-05,9.349175493524572e-05,0.11514638930124291,0.0,51.22997967567199
86.0,8.075243604629651e-05,9.292729936484e-05,0.12249223980343714,0.0,63.605305308705994
87.0,8.298114753634753e-05,9.377790132471999e-05,0.10446637651827606,0.0,69.05707170639874
88.0,8.103690543494946e-05,9.412872003068054e-05,0.11391812483910418,0.0,140.466052196794
89.0,7.896599525774628e-05,9.395786148653523e-05,0.12050830803252718,0.0,38.56459628511396
