,III_H2SO4,VII,Baseline,III_H3PO4,r2
0.0,1.4605461664126736e-06,1.974349968876857e-06,-0.00021063096449400496,0.0,11.585601202145192
1.0,-9.974507510487741e-06,1.5087648018263396e-05,0.08931283660483862,0.0,25.639413267113632
2.0,-9.160825043276115e-06,2.9265724110535762e-05,0.07170415949279375,0.0,9.523354949133148
3.0,-1.6762276265018796e-05,3.657802600546388e-05,0.09096658974487841,0.0,17.09742067170867
4.0,-1.393064380711216e-05,4.0771305161890596e-05,0.07836123541730877,0.0,23.155089886254657
5.0,-3.115713311627105e-05,5.359175050179389e-05,0.22470908144009755,0.0,42.86350976984024
6.0,-7.325449892646327e-06,5.469689397649168e-05,0.10233548021467606,0.0,15.248607859069269
7.0,-1.5575065586721698e-05,6.373370524872325e-05,0.0709887013500994,0.0,26.971363232685018
8.0,-1.316333827773732e-05,6.841373164644046e-05,0.08173923994049875,0.0,17.870157866958024
9.0,-2.9598161245578636e-06,5.71576342209047e-05,0.060481836805410624,0.0,294.09048733864
10.0,-5.7768800445131475e-06,8.289402254310457e-05,0.03297888776286124,0.0,18.54616943503866
11.0,-1.3594853776543329e-05,8.840929479907201e-05,0.07396718025150958,0.0,19.422897967964936
12.0,-2.2362979898902336e-05,9.723160108331377e-05,0.14845000783451334,0.0,8.831382046762977
13.0,-1.0053293479613604e-05,0.0001021372650451842,0.07654868854093642,0.0,8.776744396643863
14.0,-1.0451725942197353e-05,0.00010642451639452218,0.05870765045616552,0.0,29.305147637429776
15.0,-1.3248810987015303e-05,0.00011226551455930267,0.08271614963414865,0.0,16.4732511512358
16.0,-9.884433879968023e-06,0.00011908375847868478,0.059348367006605375,0.0,77.71728335936808
17.0,-3.142318472279044e-05,0.00012466986860418093,0.07731210354804846,0.0,24.208383256458337
18.0,-1.5756417975492995e-05,0.00013081344547125003,0.09313970572961615,0.0,123.70912527299727
19.0,-2.0714699585782678e-05,0.0001362978996853777,0.1205511053021852,0.0,48.66209241264949
20.0,-1.6216743773064492e-05,0.00014416960831102005,0.08654796328669287,0.0,83.12240581897319
21.0,-1.7585230173501378e-05,0.0001460184456469084,0.11818570055012202,0.0,32.86064143559427
22.0,-1.4285950822827993e-05,0.00015138501470729707,0.08659294665721319,0.0,106.75378432352974
23.0,-9.737404073078894e-06,0.00016107447859414187,0.06586203502660863,0.0,34.75975298861836
24.0,-1.3242430003876512e-05,0.00016617919207621425,0.09119755512239479,0.0,111.193906742479
25.0,1.1212360703675807e-06,0.00017009925556452785,0.019782854834127814,0.0,30.606944928040477
26.0,-9.517358600944514e-06,0.0001749762395703261,0.0927613129091455,0.0,162.30420593873433
27.0,-7.520488476396052e-06,0.0001791873680299895,0.04444527746554302,0.0,95.97703816389459
28.0,-1.1349786915823291e-05,0.00018653690063948154,0.08006676691899509,0.0,95.31868692547367
29.0,-9.112514437880927e-06,0.0001914406083054025,0.06627822263896321,0.0,70.96321521659168
30.0,-3.008438533602368e-05,0.0001962585053720997,0.08622726690810302,0.0,37.84377790458065
31.0,-3.7596226406295476e-05,0.00020033708214209703,0.1342593716307689,0.0,83.8740039933857
32.0,-1.3582302541383957e-05,0.00020395647086759942,0.110969959150672,0.0,112.81097818354597
33.0,-3.97808963418643e-06,0.0002091258741493202,0.055610136339742065,0.0,100.48881406336143
34.0,-2.5125090860779035e-06,0.00020208724649980428,0.05815865156176313,0.0,84.85164648508541
35.0,-6.453773929399254e-06,0.00020887526611069852,0.12874463820374454,0.0,51.20683207701519
36.0,2.4135119139430267e-05,0.0001938360693004822,0.03617856190742435,0.0,38.87780121877078
37.0,4.931544137361243e-05,0.00017717128756261413,0.07340939242764741,0.0,182.0603066575209
38.0,5.617192212614548e-05,0.0001770499004200401,0.08110888725801517,0.0,81.3355635627481
39.0,5.714029488590987e-05,0.00017234466746228534,0.09405788725778583,0.0,54.08259741917884
40.0,4.8946606355828376e-05,0.0001682900690636632,0.13069207132400054,0.0,130.6883679209578
41.0,4.82130222943587e-05,0.00016022008326258786,0.12273901650581698,0.0,158.31896146064676
42.0,4.197830452513103e-05,0.00015844307369367408,0.15256910075229946,0.0,113.7736338917354
43.0,6.0733536390796786e-05,0.0001557005903242722,0.030129664308876335,0.0,67.79893552672304
44.0,5.62751360527403e-05,0.00015229093782875792,0.028942630115891488,0.0,179.12545707306512
45.0,5.324007756548779e-05,0.00015154302059519823,0.03888424530244778,0.0,93.16086851962963
46.0,4.4647360453083696e-05,0.00015227283932655282,0.09747931787355806,0.0,73.2032819452003
47.0,4.4638561682927174e-05,0.00014698748768652211,0.07592550992319332,0.0,178.54838304527073
48.0,4.24912568636152e-05,0.00014623132667462973,0.0945216630650043,0.0,139.67951235514533
49.0,3.730705354891863e-05,0.00014815465545636736,0.16125326823228955,0.0,197.2937729045989
