Edisk/V,Idisk/mA,Iring/mA,E-iR vs RHE,jdisk mAcm-2,jring mAcm-2,jCER,jOER,I cer,I OER
0.958782833,-0.031013531,-0.024512836,1.204196709,-0.157950246,-0.092476839,0.131914041,-0.332717746,0.025901322,-0.065329129
0.959869603,-0.013533906,-0.019938094,1.205050213,-0.068927456,-0.075218222,0.083667426,-0.195448341,0.016428099,-0.038376282
0.96087289,-0.005200973,-0.017378643,1.205942297,-0.026488275,-0.065562465,0.056674675,-0.12601641,0.011128073,-0.024743322
0.96185104,4.21629E-05,-0.015456587,1.206850477,0.000214734,-0.058311339,0.036404089,-0.079042815,0.007147943,-0.015520057
0.96288687,0.003765165,-0.014004563,1.207836624,0.019175785,-0.052833452,0.021090607,-0.044768281,0.004141141,-0.008790252
0.963882723,0.006417825,-0.013136524,1.208797077,0.032685639,-0.049558696,0.011936001,-0.022103821,0.002343634,-0.004340085
0.964842897,0.008414277,-0.012004753,1.209730608,0.042853459,-4.53E-02,0,0,0,0
0.96588262,0.010018703,-0.011534997,1.21074892,0.051024715,-0.043516797,0.004954181,0.003217075,0.000972753,0.000631673
0.966841753,0.011311631,-0.010938868,1.2116908,0.057609527,-0.041267844,0.011241148,0.00351492,0.002207199,0.000690154
0.967870177,0.012408721,-0.010258628,1.212704582,0.063196949,-0.038701581,0.018415159,0.00192833,0.003615817,0.000378628
0.968887843,0.01334187,-0.009983788,1.213709796,0.067949429,-0.037664721,0.02131371,0.00378226,0.004184947,0.000742647
0.96984436,0.014021196,-0.009492992,1.214657247,0.071409195,-0.03581315,0.026489795,0.002065942,0.005201271,0.000405648
0.970851043,0.014749094,-0.009209718,1.215654217,0.075116342,-0.034744476,0.029477282,0.002785601,0.005787864,0.000546953
0.971854727,0.015309376,-0.008677044,1.216650423,0.077969829,-0.032734916,0.035095025,2.13454E-05,0.006890908,4.19117E-06
0.97284597,0.015827225,-0.008668911,1.217634756,0.080607207,-0.032704233,0.035180797,0.00257295,0.00690775,0.000505199
0.97384675,0.01626442,-0.008296456,1.218629701,0.082833815,-0.031299115,0.039108819,0.000871537,0.007679017,0.000171126
0.974832437,0.01659065,-0.008178652,1.219611034,0.084495291,-0.030854687,0.04035122,0.001290611,0.007922962,0.000253412
0.97586888,0.016987321,-0.007892682,1.220642184,0.086515513,-0.02977584,0.043367147,0.000294907,0.008515139,5.7905E-05
0.976854203,0.017304809,-0.007775039,1.221623271,0.088132464,-0.029332023,0.044607842,0.000671163,0.00875875,0.000131783
0.97782278,0.017570593,-0.007420071,1.2225883,0.089486086,-0.027992875,0.048351442,-0.001718815,0.009493806,-0.000337489
0.978885887,0.017843333,-0.007432396,1.223647767,0.090875136,-0.028039371,0.048221462,-0.000199785,0.009468284,-3.92277E-05
0.979844947,0.018138183,-0.007128712,1.224602893,0.092376793,-0.026893697,0.051424203,-0.001900869,0.010097142,-0.000373236
0.98082737,0.01833532,-0.00704857,1.225582685,0.093380801,-0.026591351,0.052269412,-0.00174207,0.010263099,-0.000342055
0.981853327,0.018616767,-0.006929499,1.226604886,0.094814192,-0.026142148,0.053525164,-0.00156443,0.010509666,-0.000307176
0.982838197,0.018787616,-0.006783449,1.227587476,0.095684317,-0.025591161,0.055065454,-0.002234596,0.010812102,-0.000438763
0.983866613,0.019023314,-0.006704136,1.228612747,0.096884714,-0.025291946,0.055901911,-0.001870656,0.01097634,-0.000367303
0.984846633,0.019225365,-0.006503445,1.229590071,0.097913751,-0.024534822,0.058018458,-0.002958166,0.011391924,-0.000580836
0.985869407,0.019361405,-0.006339639,1.230611029,0.098606597,-0.023916847,0.059746012,-0.003992874,0.011731129,-0.000784001
0.986864507,0.019537092,-0.006502757,1.231603784,0.09950136,-0.024532227,0.058025712,-0.001377811,0.011393349,-0.000270533
0.987864257,0.019649685,-0.006205303,1.232602032,0.10007479,-0.023410053,0.061162761,-0.00394143,0.012009308,-0.0007739
0.9888676,0.01975769,-0.006149148,1.233603934,0.100624852,-0.023198204,0.061754985,-0.003983592,0.012125591,-0.000782178
0.989862083,0.019897725,-0.005950408,1.234596548,0.101338046,-0.02244844,0.063850957,-0.00536637,0.012537135,-0.001053687
0.990855457,0.020018341,-0.005809429,1.235588312,0.101952335,-0.021916585,0.065337761,-0.006238885,0.012829069,-0.001225005
0.991896887,0.020123747,-0.005787752,1.236628335,0.102489162,-0.021834804,0.065566381,-0.005930678,0.012873959,-0.001164489
0.992872993,0.020286964,-0.005722069,1.237602264,0.103320419,-0.02158701,0.066259091,-0.005792131,0.013009972,-0.001137285
0.993842323,0.020362709,-0.005744054,1.238570583,0.103706185,-0.02166995,0.066027232,-0.005174507,0.012964447,-0.001016014
0.994856257,0.020548625,-0.005507738,1.239582035,0.104653045,-0.02077843,0.068519485,-0.006719899,0.013453801,-0.001319452
0.99585066,0.020631644,-0.005418928,1.240575331,0.105075856,-0.020443383,0.069456111,-0.007233714,0.013637707,-0.00142034
0.996834537,0.020756902,-0.005488091,1.241557536,0.105713785,-0.020704307,0.068726695,-0.005866369,0.013494487,-0.001151862
0.997846703,0.02092946,-0.005285722,1.2425674,0.106592614,-0.019940854,0.070860936,-0.007121781,0.013913545,-0.001398362
0.998882183,0.020961513,-0.005283093,1.243602452,0.106755859,-0.019930934,0.070888668,-0.006986267,0.01391899,-0.001371754
0.999834127,0.021047787,-0.005304927,1.244553244,0.107195248,-0.020013305,0.070658397,-0.006316608,0.013873776,-0.001240266
1.000834933,0.021170418,-0.005117631,1.245552414,0.107819801,-0.019306714,0.072633679,-0.007667337,0.014261623,-0.001505482
1.001864733,0.021177633,-0.005132699,1.246582118,0.107856545,-0.019363559,0.072474769,-0.007471682,0.014230421,-0.001467065
1.0028797,0.02127382,-0.005140415,1.247595801,0.108346421,-0.019392669,0.072393392,-0.006900431,0.014214443,-0.0013549
1.003844733,0.02133542,-0.005038392,1.248560012,0.108660148,-0.01900778,0.073469351,-0.007662662,0.014425707,-0.001504564
1.0048693,0.021435305,-0.004989905,1.249583246,0.109168857,-0.018824856,0.073980718,-0.007665321,0.014526114,-0.001505086
1.0058344,0.02160642,-0.00502539,1.250546062,0.110040336,-0.018958729,0.073606474,-0.006419597,0.014452631,-0.001260488
1.006886067,0.021639446,-0.004959245,1.251597288,0.110208536,-0.018709189,0.074304067,-0.00694899,0.014589604,-0.001364434
1.0078818,0.021731961,-0.004920714,1.252591787,0.110679711,-0.018563828,0.074710424,-0.006884171,0.014669392,-0.001351707
1.008902567,0.021890699,-0.004803492,1.253610435,0.111488152,-0.018121597,0.075946684,-0.007311991,0.014912131,-0.001435709
1.009879133,0.021886181,-0.004793273,1.254587062,0.111465146,-0.018083045,0.076054458,-0.007442771,0.014933293,-0.001461388
1.0108686,0.022110422,-0.004749794,1.255573536,0.11260719,-0.017919016,0.076513001,-0.006759271,0.015023328,-0.001327183
