Edisk/V,Idisk/mA,Iring/mA,E-iR vs RHE,jdisk mAcm-2,jring mAcm-2,jCER,jOER,I cer,I OER
0.959091367,-0.004533378,-0.032011896,1.204152507,-0.02308825,-0.120767708,0.13308666,-0.204555572,0.026131566,-0.040164486
0.96032029,0.002148429,-0.027187735,1.205291315,0.010941832,-0.102568134,0.082473009,-0.119911839,0.016193575,-0.02354469
0.961348973,0.004940717,-0.024560374,1.20628234,0.025162805,-0.092656183,0.054907526,-0.078125382,0.010781093,-0.015339919
0.962339837,0.00667698,-0.022697918,1.207249786,0.0340055,-0.085629903,0.035367196,-0.049742358,0.006944349,-0.009766912
0.96332427,0.008024701,-0.021289965,1.208216044,0.040869369,-0.080318273,0.020595368,-0.02810666,0.004043901,-0.005518743
0.964298547,0.008795987,-0.020193245,1.209179918,0.044797489,-0.076180803,0.009088918,-0.01267209,0.001784609,-0.002488165
0.965314467,0.009499543,-0.019326949,1.210186349,0.048380661,-0.072912624,0,0,0,0
0.966362853,0.01034972,-0.018620365,1.21122327,0.05271057,-0.070246972,0.007413271,-0.003083362,0.001455596,-0.000605418
0.96730099,0.010809274,-0.018010712,1.212155209,0.055051051,-0.067947004,0.013809564,-0.007139174,0.002711508,-0.001401777
0.96827964,0.01124085,-0.017660418,1.213128038,0.057249045,-0.066625489,0.017484744,-0.008616359,0.003433129,-0.001691822
0.96934468,0.011676003,-0.017168642,1.21418721,0.059465258,-0.064770219,0.022644313,-0.011559717,0.004446211,-0.00226975
0.970336537,0.011965447,-0.01654221,1.215175163,0.060939379,-0.062406948,0.029216654,-0.016657936,0.00573669,-0.003270786
0.971307913,0.012200855,-0.016065905,1.216143364,0.062138299,-0.060610048,0.034213896,-0.020456258,0.006717898,-0.004016586
0.97231084,0.012647972,-0.015994502,1.217140261,0.06441544,-0.060340672,0.034963038,-0.018928259,0.006864993,-0.003716564
0.973323247,0.012887374,-0.015874874,1.218149439,0.065634702,-0.059889364,0.036218143,-0.018964102,0.007111432,-0.003723602
0.974310217,0.013059998,-0.015685293,1.219134081,0.066513866,-0.059174154,0.038207166,-0.020073961,0.007501977,-0.003941522
0.975317123,0.013286168,-0.015494008,1.220137937,0.06766574,-0.058452514,0.040214071,-0.020928993,0.007896033,-0.004109408
0.97632875,0.013540315,-0.015232451,1.221146136,0.068960095,-0.057465769,0.042958245,-0.022378812,0.008434851,-0.00439408
