Edisk/V,Idisk/mA,Iring/mA,E-iR vs RHE,jdisk mAcm-2,jring mAcm-2,jCER,jOER,I cer,I OER
0.960697473,-0.022042133,-0.040941259,1.205024101,-0.112259398,-0.154454516,0.105045646,-0.231678944,0.020625713,-0.045490161
0.961830617,-0.008539869,-0.038578684,1.205957163,-0.043493092,-0.145541496,0.08023726,-0.138104252,0.015754586,-0.02711677
0.962845387,-0.003827658,-0.035654924,1.206902106,-0.019494059,-0.134511353,0.049536103,-0.083404063,0.009726414,-0.016376388
0.96386983,-0.000732222,-0.033853653,1.20788068,-0.003729165,-0.127715898,0.03062172,-0.048724786,0.006012575,-0.009567112
0.964872323,0.001204344,-0.032334921,1.208854477,0.006133661,-0.121986347,0.014674163,-0.022914403,0.002881272,-0.004499243
0.965881167,0.002822315,-0.030937458,1.209839345,0.014373901,-0.116714294,0,0,0,0
0.96687277,0.004074636,-0.030903368,1.210812391,0.020751901,-0.116585687,0.000357965,0.006020036,7.02863E-05,0.001182034
0.96787443,0.005065781,-0.030463376,1.211799364,0.025799752,-0.114925778,0.004978133,0.006447718,0.000977456,0.001266009
0.968890807,0.005792686,-0.029775216,1.212804969,0.029501841,-0.112329635,0.012204204,0.002923736,0.002396296,0.000574075
0.969856227,0.006443854,-0.02907105,1.213760739,0.032818204,-0.109673106,0.019598351,-0.001154048,0.003848136,-0.000226597
0.970850923,0.006897961,-0.028458984,1.214748707,0.035130945,-0.107364032,0.026025399,-0.005268354,0.005110087,-0.001034441
0.97191318,0.007388227,-0.027934852,1.215803699,0.037627843,-0.105386699,0.031529082,-0.00827514,0.006190735,-0.001624824
0.97285807,0.00791701,-0.027877295,1.216740753,0.040320905,-0.105169559,0.032133467,-0.006186463,0.006309406,-0.001214712
0.973902247,0.008262892,-0.027103864,1.217779804,0.042082466,-0.102251723,0.040254933,-0.012546367,0.007904056,-0.002463479
0.97488499,0.008688022,-0.027253135,1.218756248,0.044247631,-0.102814859,0.038687509,-0.008813779,0.007596292,-0.001730585
0.97589735,0.008964181,-0.026973987,1.219764516,0.04565409,-0.101761748,0.041618723,-0.010338533,0.008171836,-0.002029971
0.976853987,0.009152612,-0.026574672,1.22071836,0.046613759,-0.100255297,0.045811759,-0.013571901,0.008995139,-0.002664843
0.977866033,0.009297535,-0.026402772,1.221728259,0.047351847,-0.099606789,0.047616809,-0.014638863,0.00934956,-0.002874341
