Edisk/V,Idisk/mA,Iring/mA,E-iR vs RHE,jdisk mAcm-2,jring mAcm-2,jCER,jOER,I cer,I OER
0.960933823,0.028284123,-0.026860095,1.203186651,0.14404952,-0.101332082,0.165688214,-0.138010649,0.032532881,-0.027098391
0.96202318,0.023818006,-0.021416379,1.204346617,0.121303825,-0.080795182,0.106850733,-0.101918863,0.020980141,-0.020011769
0.963079153,0.023115048,-0.018605355,1.205413704,0.117723697,-0.070190347,0.076468261,-0.075116518,0.015014543,-0.014749128
0.96404288,0.022871414,-0.016568071,1.206381283,0.116482884,-0.062504513,0.054448622,-0.054337693,0.010690987,-0.010669206
0.9650624,0.022880851,-0.015193873,1.207400654,0.116530946,-0.057320227,0.039595829,-0.039436837,0.007774641,-0.007743423
0.966078023,0.022745973,-0.013995828,1.20841841,0.115844018,-0.052800497,0.026646963,-0.027174899,0.005232131,-0.005335791
0.967046677,0.022829962,-0.012919537,1.209385735,0.116271768,-0.048740096,0.015014061,-0.015114247,0.002948011,-0.002967682
0.968083797,0.022861645,-0.012190069,1.210422354,0.116433131,-0.045988111,0.007129722,-0.007068545,0.001399921,-0.001387909
0.969051043,0.022849633,-0.011530418,1.211389791,0.116371955,-0.043499521,0,0,0,0
0.97006774,0.022759071,-0.010858233,1.212407919,0.115910727,-0.040963642,0.007265201,-0.007726428,0.001426522,-0.001517084
0.9710657,0.022862128,-0.01035215,1.21340425,0.11643559,-0.039054402,0.012735107,-0.012671472,0.002500538,-0.002488044
0.97208319,0.022925737,-0.009943342,1.214420734,0.116759547,-0.037512136,0.017153641,-0.016766049,0.003368117,-0.003292014
0.973107197,0.022895247,-0.009596882,1.215445223,0.116604261,-0.036205085,0.020898296,-0.020665989,0.00410338,-0.004057767
0.974093557,0.022943226,-0.009231744,1.216430824,0.116848617,-0.034827568,0.024844832,-0.02436817,0.004878283,-0.00478469
0.975034953,0.022969551,-0.00890562,1.217371805,0.116982691,-0.03359724,0.02836968,-0.027758944,0.005570387,-0.005450469
0.976130527,0.02293464,-0.008814707,1.21846793,0.116804891,-0.03325426,0.029352303,-0.028919367,0.005763325,-0.005678318
0.977059227,0.023006317,-0.008480252,1.219395497,0.117169935,-0.0319925,0.032967203,-0.032169223,0.00647311,-0.006316427
0.978110193,0.02300804,-0.00818633,1.220446436,0.117178711,-0.030883655,0.036144002,-0.035337245,0.007096875,-0.006938468
0.979102133,0.022937837,-0.008011074,1.221439486,0.116821173,-0.030222483,0.038038236,-0.037589017,0.007468808,-0.007380604
0.980012817,0.023141831,-0.007873903,1.222346944,0.117860104,-0.029704993,0.039520826,-0.038032678,0.007759914,-0.007467716
0.981129407,0.023131768,-0.007601452,1.223463693,0.117808852,-0.028677151,0.042465557,-0.04102866,0.008338112,-0.008055977
0.982011537,0.023184936,-0.007485705,1.224344983,0.118079635,-0.028240483,0.043716596,-0.042008916,0.008583754,-0.008248451
0.983073473,0.023162812,-0.007220123,1.225407269,0.117966957,-0.027238552,0.046587092,-0.04499209,0.009147376,-0.008834197
0.98403436,0.02324428,-0.007038128,1.226366868,0.118381867,-0.026551959,0.048554157,-0.046544244,0.009533609,-0.009138962
0.98505207,0.023392584,-0.006949243,1.227382233,0.119137175,-0.026216634,0.04951485,-0.04674963,0.009722241,-0.00917929
0.986067633,0.023414622,-0.006808265,1.228397448,0.11924941,-0.02568478,0.051038591,-0.048161136,0.010021427,-0.009456439
0.98698507,0.023416028,-0.006730492,1.229314863,0.119256572,-0.025391378,0.05187918,-0.048994563,0.010186477,-0.009620082
0.988046687,0.023474058,-0.006567943,1.230375562,0.119552118,-0.024778146,0.053636068,-0.050455905,0.010531442,-0.009907017
0.989109317,0.023447183,-0.006502196,1.231438617,0.119415241,-0.024530107,0.054346689,-0.051303402,0.010670972,-0.010073423
0.990009447,0.0234988,-0.006425448,1.232337931,0.119678124,-0.024240572,0.055176198,-0.051870028,0.010833846,-0.01018468
0.991044123,0.023534418,-0.006270281,1.233372044,0.119859525,-0.023655188,0.056853302,-0.053365732,0.011163146,-0.010478362
0.992011287,0.023539604,-0.00622985,1.234339126,0.119885938,-0.023502661,0.057290285,-0.053776302,0.011248948,-0.010558977
0.993075073,0.02368929,-0.0061865,1.235400546,0.120648281,-0.023339118,0.057758832,-0.053482505,0.011340947,-0.01050129
0.994084737,0.023715214,-0.006130388,1.236409799,0.120780312,-0.023127429,0.058365311,-0.053956954,0.011460029,-0.010594448
0.99502637,0.023430054,-0.005846043,1.237355941,0.119328006,-0.022054712,0.061438608,-0.058482556,0.012063471,-0.01148305
0.99613118,0.023991982,-0.006241611,1.238451867,0.122189874,-0.023547029,0.057163172,-0.051345253,0.011223989,-0.01008164
0.99725185,0.023905154,-0.005996349,1.23957391,0.121747663,-0.022621757,0.059814043,-0.054438334,0.011744487,-0.010688967
0.99825555,0.023933583,-0.005780216,1.24057716,0.121892454,-0.021806374,0.062150088,-0.056629588,0.01220317,-0.01111922
0.9992764,0.024100701,-0.005715476,1.241595368,0.122743574,-0.021562139,0.06284981,-0.056478192,0.01234056,-0.011089493
1.000259863,0.023993306,-0.005582385,1.242580529,0.12219662,-0.021060039,0.06428831,-0.058463645,0.01262301,-0.011479337
1.001276967,0.024049779,-0.005645363,1.24359674,0.122484234,-0.02129763,0.063607619,-0.05749534,0.012489356,-0.01128921
1.002291433,0.024045454,-0.005611939,1.244611275,0.122462207,-0.021171536,0.063968875,-0.057878622,0.012560289,-0.011364468
1.003269267,0.024093133,-0.005556087,1.245588354,0.122705034,-0.020960828,0.064572547,-0.058239468,0.01267882,-0.01143532
1.0042255,0.024129168,-0.005508799,1.246544018,0.122888556,-0.020782432,0.065083645,-0.058567044,0.012779174,-0.011499639
1.005287467,0.024245194,-0.005500983,1.24760415,0.123479472,-0.020752946,0.06516812,-0.058060603,0.01279576,-0.011400199
1.006262133,0.024296839,-0.005455263,1.248578,0.123742494,-0.020580461,0.065662283,-0.058291744,0.012892789,-0.011445584
1.0072473,0.024386955,-0.005248902,1.249561742,0.12420145,-0.019801945,0.067892705,-0.06006321,0.013330733,-0.011793411
1.0082811,0.024392018,-0.005212075,1.250595462,0.124227235,-0.019663012,0.068290743,-0.060435462,0.013408887,-0.011866503
1.009227533,0.024445094,-0.005214366,1.251541056,0.124497549,-0.019671656,0.068265977,-0.060140383,0.013404025,-0.011808564
1.010275,0.02461345,-0.005305545,1.252585861,0.125354977,-0.020015638,0.067280481,-0.058297459,0.013210522,-0.011446706
1.011217367,0.024568575,-0.005034049,1.253528938,0.125126431,-0.018991394,0.070214904,-0.061460428,0.013786696,-0.012067755
1.012246067,0.024829012,-0.005126492,1.25455352,0.126452824,-0.019340143,0.069215751,-0.059134882,0.013590513,-0.011611134
1.0132932,0.024738815,-0.00513486,1.255602079,0.125993454,-0.019371715,0.069125299,-0.0595038,0.013572752,-0.011683571
1.014250733,0.024759609,-0.0049655,1.256559284,0.126099357,-0.018732787,0.070955802,-0.0612284,0.013932172,-0.012022196
1.015267467,0.024787079,-0.005119015,1.257575583,0.126239262,-0.019311936,0.069296562,-0.059429256,0.01360638,-0.011668934
1.016247767,0.024862628,-0.005036338,1.258554689,0.126624029,-0.019000028,0.070190166,-0.059938093,0.013781839,-0.011768845
1.017223767,0.024886506,-0.004909567,1.259530311,0.126745636,-0.018521777,0.07156034,-0.061186659,0.014050873,-0.012014
1.018316933,0.025072622,-0.005052653,1.260620535,0.127693518,-0.019061578,0.070013829,-0.058692265,0.013747215,-0.011524226
1.019173767,0.025065696,-0.004985919,1.261477478,0.127658241,-0.018809822,0.070735102,-0.059448815,0.013888837,-0.011672775
1.0203054,0.025227228,-0.005044747,1.262606558,0.128480915,-0.019031753,0.070099276,-0.057990316,0.013763993,-0.011386398
1.021193367,0.025184204,-0.00497328,1.263495204,0.1282618,-0.018762139,0.07087171,-0.058981866,0.01391566,-0.011581089
1.022242267,0.025282703,-0.004946422,1.264542547,0.12876345,-0.018660816,0.071161998,-0.058770503,0.013972658,-0.011539588
1.0232819,0.025472388,-0.004886371,1.265579182,0.129729505,-0.018434268,0.07181105,-0.0584535,0.0141001,-0.011477345
1.024208133,0.025506913,-0.004715484,1.266504869,0.129905339,-0.017789579,0.073658059,-0.060124675,0.01446276,-0.01180548
1.025291333,0.025841412,-0.004821429,1.267582781,0.131608925,-0.018189266,0.072512972,-0.057276002,0.014237922,-0.011246143
1.0262504,0.025667829,-0.00478529,1.268544592,0.130724876,-0.018052928,0.072903576,-0.058550656,0.014314617,-0.011496421
1.027271667,0.025655232,-0.004672344,1.269566057,0.130660718,-0.017626832,0.074124326,-0.059835563,0.014554311,-0.011748713
1.028314133,0.025745053,-0.004666076,1.270607104,0.131118173,-0.017603184,0.074192075,-0.059445857,0.014567614,-0.011672194
1.0292634,0.025792903,-0.004690221,1.271555614,0.131361869,-0.017694274,0.073931105,-0.058941191,0.014516373,-0.011573103
1.0302465,0.025839251,-0.004761311,1.272537981,0.131597917,-0.017962466,0.073162744,-0.057936782,0.014365505,-0.011375887
1.031288967,0.0260139,-0.004674521,1.273577687,0.132487397,-0.017635042,0.074100803,-0.057985361,0.014549693,-0.011385426
1.032267933,0.026038289,-0.004728652,1.274556268,0.132611605,-0.017839256,0.073515738,-0.057276087,0.014434815,-0.01124616
1.033272967,0.026168843,-0.004619215,1.275559237,0.133276513,-0.017426398,0.074698561,-0.057794003,0.014667062,-0.011347852
1.034300933,0.02620885,-0.004590064,1.276586571,0.133480263,-0.017316423,0.075013637,-0.057905328,0.014728928,-0.011369711
1.035272,0.026271703,-0.004617025,1.277556644,0.133800373,-0.017418134,0.074722237,-0.057293819,0.014671711,-0.011249641
1.0362598,0.026536744,-0.004606296,1.278540254,0.13515021,-0.017377657,0.074838201,-0.056059946,0.014694481,-0.01100737
1.037324467,0.026529895,-0.004558162,1.279605029,0.13511533,-0.017196069,0.075358445,-0.05661507,0.014796631,-0.011116369
1.038264867,0.026641941,-0.004554487,1.280543658,0.135685976,-0.017182205,0.075398167,-0.056084146,0.01480443,-0.011012122
1.039334167,0.026706058,-0.004576669,1.281611944,0.136012518,-0.017265888,0.075158416,-0.055517853,0.014757355,-0.01090093
1.0402779,0.026714878,-0.004583548,1.282555538,0.136057438,-0.017291838,0.07508407,-0.055398586,0.014742757,-0.010877512
1.0413148,0.026760191,-0.004375222,1.283591721,0.136288217,-0.016505911,0.077335724,-0.057419462,0.015184869,-0.011274311
1.042256367,0.026880317,-0.004451962,1.284531389,0.13690001,-0.016795422,0.076506286,-0.05597823,0.015022009,-0.010991326
1.043284767,0.026953238,-0.004522059,1.285558636,0.137271393,-0.017059867,0.075748659,-0.054849221,0.014873249,-0.010769645
1.044295433,0.027154126,-0.004394447,1.286566127,0.138294503,-0.016578439,0.077127933,-0.055205385,0.01514407,-0.010839577
1.045294,0.027257718,-0.004403101,1.287563055,0.138822095,-0.016611088,0.077034395,-0.054584255,0.015125703,-0.010717618
1.046274133,0.027366551,-0.003425623,1.288541468,0.139376376,-0.012923466,0.087599301,-0.06459488,0.017200123,-0.012683205
1.047271967,0.027384122,-0.004495889,1.289539024,0.13946586,-0.016961139,0.076031511,-0.052937605,0.014928787,-0.010394299
1.048298167,0.027471138,-0.004421164,1.290563848,0.139909028,-0.016679233,0.076839161,-0.053302088,0.015087369,-0.010465865
1.049263267,0.027697702,-0.004476958,1.291525366,0.14106291,-0.016889718,0.07623613,-0.051545175,0.014968964,-0.010120895
1.0503129,0.027844898,-0.004442188,1.292572672,0.141812569,-0.016758545,0.076611935,-0.051171321,0.015042753,-0.010047489
1.051227767,0.027832787,-0.004442357,1.29348773,0.141750887,-0.016759184,0.076610105,-0.051231173,0.015042394,-0.010059241
1.052347333,0.027963125,-0.004462825,1.294605236,0.142414693,-0.016836403,0.076388876,-0.050346137,0.014998956,-0.009885464
1.0532467,0.028001532,-0.004365269,1.295503996,0.142610298,-0.016468361,0.077443302,-0.051204958,0.015205992,-0.010054094
1.054220933,0.028143063,-0.004412066,1.296475992,0.143331106,-0.016644908,0.076937502,-0.049978351,0.015106678,-0.009813249
1.055317867,0.028159885,-0.004376927,1.297572659,0.14341678,-0.016512343,0.077317295,-0.05027247,0.015181251,-0.009871
1.056192933,0.028298328,-0.004432564,1.298445537,0.144121866,-0.016722238,0.076715955,-0.048966044,0.015063178,-0.009614483
1.0572929,0.02854147,-0.00437191,1.299541659,0.145360173,-0.016493417,0.077371518,-0.048383299,0.015191897,-0.009500061
1.058261933,0.028625929,-0.004290449,1.300509357,0.145790317,-0.016186097,0.07825198,-0.048833618,0.015364776,-0.009588481
1.059205833,0.028710378,-0.004251941,1.301451922,0.146220414,-0.016040823,0.078668183,-0.048819723,0.015446498,-0.009585753
1.0602989,0.028814628,-0.004308146,1.302543341,0.146751354,-0.016252861,0.078060703,-0.047681304,0.015327219,-0.009362224
1.061226467,0.029053411,-0.004278637,1.303467132,0.147967461,-0.016141537,0.078379641,-0.046784135,0.015389842,-0.009186065
1.062291233,0.029173198,-0.004253975,1.304530005,0.148577532,-0.016048495,0.078646202,-0.046440626,0.015442182,-0.009118617
1.063274733,0.029412207,-0.004213679,1.305509726,0.14979479,-0.015896477,0.079081731,-0.045658895,0.015527698,-0.008965124
1.064234967,0.02937905,-0.004264857,1.306470484,0.149625925,-0.01608955,0.078528583,-0.045274613,0.015419087,-0.00888967
1.065270433,0.029591851,-0.004218132,1.307502586,0.150709705,-0.015913277,0.079033598,-0.044695848,0.015518247,-0.00877603
1.066254833,0.029667014,-0.004306306,1.308485798,0.151092507,-0.01624592,0.078080588,-0.043360036,0.015331123,-0.008513743
1.067308,0.029773987,-0.004208466,1.309537273,0.151637316,-0.015876809,0.079138078,-0.043872717,0.015538762,-0.008614408
1.068250467,0.029962142,-0.004317914,1.310476765,0.152595579,-0.016289712,0.077955125,-0.041731501,0.015306489,-0.00819398
1.0692594,0.030139929,-0.004281993,1.311482888,0.153501037,-0.016154199,0.078343367,-0.041214284,0.01538272,-0.008092425
1.070246833,0.030335437,-0.004287473,1.31246723,0.154496751,-0.016174872,0.078284138,-0.040159342,0.015371091,-0.007885287
1.071265967,0.030503372,-0.004299752,1.313483708,0.155352036,-0.016221195,0.078151425,-0.039171343,0.015345032,-0.007691293
1.0722643,0.030594956,-0.004244291,1.314480594,0.155818465,-0.016011962,0.078750868,-0.039304358,0.015462733,-0.007717411
1.073331467,0.030800171,-0.004235928,1.315544516,0.156863616,-0.015980414,0.078841252,-0.038349591,0.01548048,-0.007529942
1.0742634,0.031015727,-0.00423412,1.316473041,0.157961429,-0.015973593,0.078860796,-0.037271322,0.015484317,-0.007318224
1.075254967,0.031168859,-0.004199021,1.317462187,0.158741322,-0.015841177,0.079240163,-0.036870795,0.015558806,-0.007239581
1.0762685,0.031422555,-0.004174698,1.318471709,0.160033384,-0.015749416,0.079503055,-0.035841626,0.015610425,-0.007037503
1.077290833,0.031579236,-0.004238458,1.319491566,0.160831354,-0.015989959,0.078813907,-0.034354508,0.015475111,-0.006745508
1.0782923,0.031743617,-0.004173444,1.320490433,0.161668536,-0.015744684,0.07951661,-0.034220029,0.015613086,-0.006719103
1.079261933,0.031903557,-0.004174378,1.321457538,0.162483103,-0.01574821,0.079506508,-0.03339536,0.015611103,-0.006557179
1.0802419,0.03209288,-0.004170563,1.322434512,0.163447315,-0.015733819,0.07954774,-0.032472379,0.015619199,-0.006375952
1.0812583,0.032302408,-0.004188566,1.323447599,0.164514427,-0.015801736,0.079353161,-0.031210689,0.015580993,-0.006128219
1.082242467,0.032587028,-0.00414891,1.324427266,0.165963983,-0.01565213,0.079781775,-0.030189747,0.015665152,-0.005927757
1.083269433,0.032770112,-0.004128855,1.325451338,0.16689642,-0.015576472,0.079998533,-0.029474068,0.015707712,-0.005787233
1.084305167,0.033095079,-0.00421358,1.326481933,0.168551461,-0.015896105,0.079082797,-0.026903291,0.015527907,-0.005282461
1.085267833,0.033219896,-0.004295127,1.327442627,0.169187147,-0.016203747,0.078201414,-0.025386221,0.015354848,-0.004984585
1.086236333,0.033415682,-0.004158953,1.328408031,0.170184275,-0.015690017,0.079673231,-0.025860911,0.015643839,-0.00507779
1.0872926,0.033838068,-0.004151443,1.32945762,0.172335464,-0.015661685,0.079754402,-0.023790893,0.015659777,-0.004671342
1.088211867,0.033986819,-0.004154303,1.330374535,0.173093045,-0.015672476,0.079723484,-0.023002394,0.015653706,-0.00451652
1.089252933,0.034296219,-0.004159698,1.33141071,0.174668799,-0.015692829,0.079665175,-0.021368331,0.015642257,-0.004195672
1.090300133,0.034489589,-0.004150927,1.332454853,0.175653625,-0.015659739,0.079759977,-0.020478307,0.015660871,-0.004020915
1.0912255,0.034699212,-0.004232294,1.333376905,0.176721221,-0.015966703,0.078880534,-0.018531268,0.015488193,-0.003638614
1.0923554,0.034957165,-0.004266231,1.334502727,0.178034965,-0.016094732,0.078513736,-0.016850726,0.015416172,-0.00330864
1.0932215,0.035186342,-0.004206081,1.335365204,0.179202148,-0.015867812,0.079163855,-0.016333662,0.015543823,-0.003207115
1.0943298,0.03540951,-0.004186552,1.336469976,0.180338734,-0.015794137,0.07937493,-0.015408152,0.015585268,-0.003025391
1.095293,0.035837537,-0.004261202,1.337426409,0.182518652,-0.016075761,0.078568086,-0.012421389,0.015426844,-0.00243894
1.096236933,0.0360456,-0.004128199,1.338367052,0.183578302,-0.015573995,0.080005629,-0.012799281,0.015709105,-0.002513139
1.097318033,0.036363635,-0.004154325,1.339443124,0.185198041,-0.015672557,0.079723253,-0.010897167,0.015653661,-0.002139659
1.0982117,0.036609364,-0.004223633,1.340332906,0.186449524,-0.015934028,0.078974149,-0.00889658,0.015506574,-0.001746843
1.099299433,0.036886999,-0.004243044,1.34141625,0.187863502,-0.016007258,0.078764346,-0.007272799,0.015465379,-0.001428014
1.100273067,0.037329235,-0.004175721,1.342382891,0.19011579,-0.015753276,0.079491995,-0.00574816,0.015608253,-0.001128651
1.101284867,0.037603234,-0.004100132,1.34339036,0.191511252,-0.015468111,0.080308983,-0.005169686,0.015768669,-0.001015068
1.102274633,0.0378936,-0.0041969,1.344375536,0.192990067,-0.015833177,0.079263082,-0.00264497,0.015563306,-0.00051934
1.103249433,0.038172924,-0.004166137,1.345345919,0.194412651,-0.015717121,0.079595579,-0.001554883,0.015628592,-0.000305301
1.104291367,0.038386814,-0.004219011,1.346384471,0.195501983,-0.015916592,0.079024102,0.000105926,0.015516382,2.08E-05
1.105247967,0.038713947,-0.00425557,1.347335899,0.197168052,-0.016054515,0.078628958,0.002167139,0.015438796,0.000425518
1.106268667,0.038976267,-0.004306448,1.348352452,0.198504035,-0.016246457,0.078079049,0.004053032,0.015330821,0.000795813
1.107282133,0.039292128,-0.004285263,1.349360925,0.200112697,-0.016166533,0.07830803,0.005432712,0.015375782,0.001066713
1.1083143,0.039745376,-0.004241641,1.350385926,0.202421063,-0.016001965,0.078779512,0.007269596,0.015468357,0.001427385
1.1092682,0.039987296,-0.004239602,1.351336001,0.20365315,-0.015994272,0.078801551,0.008479645,0.015472684,0.001664978
1.110250533,0.040312047,-0.004277682,1.3523132,0.205307089,-0.016137932,0.078389971,0.010545163,0.015391871,0.002070543
1.111278433,0.040570223,-0.004413544,1.353337018,0.206621968,-0.016650486,0.076921521,0.013328491,0.015103541,0.002617049
