Edisk/V,Idisk/mA,Iring/mA,E-iR vs RHE,jdisk mAcm-2,jring mAcm-2,jCER,jOER,I cer,I OER
0.96014416,-0.05683272,-0.031300108,1.204999208,-0.289445989,-0.118082424,0.118598852,-0.41544049,0.023286885,-0.08157174
0.961158017,-0.028382088,-0.027372381,1.205585025,-0.144548451,-0.103264728,0.0764454,-0.2283895,0.015010054,-0.044844278
0.962301793,-0.014318798,-0.024781095,1.20651722,-0.07292487,-0.093488871,0.048634996,-0.128955515,0.009549482,-0.025320415
0.963353497,-0.006774903,-0.022891177,1.207455425,-0.034504218,-0.086358987,0.028351869,-0.070251736,0.005566889,-0.013793928
0.964259843,-0.001846381,-0.021171925,1.208287622,-0.009403519,-0.079872957,0.009900379,-0.026699547,0.001943939,-0.005242456
0.965304177,0.001452136,-0.020249438,1.209282329,0.007395649,-0.076392796,0,0,0,0
0.966347853,0.004171084,-0.019208102,1.210285099,0.021243108,-0.072464261,0.011175914,0.002671545,0.002194391,0.000524558
0.967299083,0.00638941,-0.018354392,1.211202955,0.032540921,-0.069243567,0.020338159,0.004807113,0.003993398,0.000943877
0.968280433,0.008020912,-0.017921492,1.212159759,0.040850073,-0.067610412,0.024984168,0.008470257,0.004905641,0.001663135
0.96931843,0.009527689,-0.017282985,1.213175086,0.04852401,-0.06520159,0.031836796,0.009291565,0.006251155,0.001824399
0.970342617,0.010759267,-0.016914643,1.214180743,0.05479637,-0.063811986,0.035789948,0.011610773,0.007027356,0.002279775
0.971321167,0.011790376,-0.016324981,1.21514378,0.060047749,-0.061587433,0.042118365,0.010533735,0.008269941,0.002068299
0.972281633,0.012769206,-0.016194498,1.216089521,0.065032879,-0.061095174,0.043518747,0.014118483,0.008544906,0.002772164
0.973311083,0.013572227,-0.015688731,1.217106889,0.069122622,-0.059187126,0.048946772,0.012780201,0.009610699,0.002509392
0.974306623,0.014308528,-0.015380543,1.218091352,0.072872565,-0.058024458,0.052254334,0.013222582,0.010260138,0.002596254
0.975305,0.014918744,-0.015192271,1.219080547,0.075980362,-0.057314186,0.054274918,0.014309795,0.01065688,0.002809728
0.97634246,0.015488244,-0.014870165,1.220109439,0.078880796,-0.056099011,0.057731856,0.013753291,0.01133565,0.002700459
0.977291267,0.015985794,-0.014491718,1.22105076,0.081414788,-0.054671288,0.061793448,0.012225691,0.012133144,0.002400514
0.978306393,0.016416806,-0.014459005,1.222059402,0.083609913,-0.054547876,0.062144532,0.014069732,0.012202079,0.002762592
0.9792881,0.016932189,-0.014188373,1.223033355,0.08623473,-0.053526889,0.06504904,0.013790042,0.012772379,0.002707675
0.980284693,0.01745759,-0.013888397,1.224022044,0.088910568,-0.052395204,0.068268463,0.013246456,0.013404513,0.002600942
0.981274903,0.017820807,-0.013806088,1.225006789,0.090760413,-0.052084688,0.069151821,0.014212942,0.01357796,0.002790711
0.982311507,0.018178925,-0.013651925,1.226038005,0.092584287,-0.051503093,0.070806346,0.014382292,0.013902826,0.002823963
0.98327301,0.018536501,-0.013503812,1.226994128,0.094405404,-0.050944325,0.072395932,0.014613823,0.014214941,0.002869424
0.984256107,0.018846568,-0.013539472,1.22797256,0.095984556,-0.051078856,0.072013216,0.016575692,0.014139795,0.003254637
0.9853486,0.019210219,-0.013311905,1.229059582,0.097836611,-0.050220336,0.074455537,0.015985425,0.014619345,0.003138738
0.986365317,0.019466259,-0.013148806,1.230072447,0.099140609,-0.049605033,0.076205956,0.015539005,0.014963039,0.003051084
0.98724832,0.019658134,-0.013030496,1.230952563,0.100117819,-0.049158697,0.077475693,0.015246477,0.015212352,0.002993646
0.988281607,0.019940503,-0.012933396,1.231981602,0.10155591,-0.048792378,0.078517799,0.015642462,0.01541697,0.003071397
0.989361703,0.020190175,-0.012609231,1.233057942,0.102827475,-0.047569438,0.081996825,0.013435001,0.016100077,0.002637962
0.990332483,0.020431073,-0.012832611,1.234025098,0.104054355,-0.048412161,0.079599443,0.017059263,0.015629351,0.003349586
0.991255543,0.020554691,-0.012191137,1.234946298,0.104683939,-0.045992141,0.086483928,0.010804362,0.016981119,0.002121436
0.99227045,0.020776397,-0.012703983,1.235957869,0.105813072,-0.0479269,0.080979916,0.017437507,0.015900407,0.003423854
0.99333318,0.021041817,-0.012615114,1.237016606,0.107164842,-0.047591632,0.081933686,0.017835507,0.016087679,0.003502002
0.99435804,0.021308279,-0.012478742,1.238037457,0.108521918,-0.047077158,0.083397264,0.017729005,0.016375053,0.00348109
0.995324633,0.021497484,-0.012224987,1.239001204,0.109485531,-0.046119843,0.086120639,0.015969243,0.016909788,0.003135561
0.996264217,0.021624368,-0.012269317,1.239938878,0.110131743,-0.046287083,0.085644876,0.017091218,0.016816371,0.003355861
